year,weight,industry,industry_size,firm_size,it_org_any,it_org_internal,it_org_mixed,it_org_outsource,it_org_type,it_invest_share_std4,it_invest_share_pct,ai_use,proc_improve,innov_outcome,decision_improve,weight_raw,industry_raw,industry_size_raw,it_org_any_raw,it_org_internal_raw,it_org_mixed_raw,it_org_outsource_raw,it_invest_share_raw,ai_use_raw,proc_improve_raw,decision_improve_raw,innov_outcome_raw
2020,9.901691526,1,11,,0,0,0,0,0,1,,0,4,2,3,9.901691526,1,11,2,,,,1,2,4,3,2
2020,9.901691526,1,11,,0,0,0,0,0,1,,0,4,2,2,9.901691526,1,11,2,,,,1,2,4,2,2
2020,7.646605535,1,11,,0,0,0,0,0,1,,0,3,3,2,7.646605535,1,11,2,,,,1,2,3,2,3
2020,7.646605535,1,11,,0,0,0,0,0,1,,0,3,3,3,7.646605535,1,11,2,,,,1,3,3,3,3
2020,7.646605535,1,11,,0,0,0,0,0,1,,0,4,4,3,7.646605535,1,11,2,,,,1,2,4,3,4
2020,7.646605535,1,11,,1,0,0,1,3,1,,0,4,4,4,7.646605535,1,11,1,0,0,1,1,2,4,4,4
2020,9.901691526,1,11,,1,0,0,1,3,1,,0,3,3,4,9.901691526,1,11,1,0,0,1,1,2,3,4,3
2020,7.646605535,1,11,,0,0,0,0,0,1,,0,4,5,5,7.646605535,1,11,2,,,,1,2,4,5,5
2020,7.646605535,1,11,,0,0,0,0,0,1,,0,3,3,3,7.646605535,1,11,2,,,,1,2,3,3,3
2020,7.646605535,1,11,,0,0,0,0,0,1,,0,3,3,2,7.646605535,1,11,2,,,,1,2,3,2,3
2020,7.646605535,1,11,,0,0,0,0,0,1,,0,4,4,3,7.646605535,1,11,2,,,,1,2,4,3,4
2020,7.646605535,1,11,,0,0,0,0,0,1,,0,3,3,3,7.646605535,1,11,2,,,,1,2,3,3,3
2020,7.138625992,1,11,,0,0,0,0,0,1,,0,5,3,2,7.138625992,1,11,2,,,,1,2,5,2,3
2020,7.646605535,1,11,,0,0,0,0,0,1,,0,3,4,4,7.646605535,1,11,2,,,,1,2,3,4,4
2020,7.646605535,1,11,,0,0,0,0,0,1,,0,3,4,3,7.646605535,1,11,2,,,,1,2,3,3,4
2020,9.901691526,1,11,,0,0,0,0,0,1,,0,2,2,2,9.901691526,1,11,2,,,,1,3,2,2,2
2020,7.646605535,1,11,,0,0,0,0,0,1,,0,3,3,2,7.646605535,1,11,2,,,,1,2,3,2,3
