year,weight,industry,industry_size,firm_size,it_org_any,it_org_internal,it_org_mixed,it_org_outsource,it_org_type,it_invest_share_std4,it_invest_share_pct,ai_use,proc_improve,innov_outcome,decision_improve,weight_raw,industry_raw,industry_size_raw,firm_size_raw,it_org_any_raw,it_org_internal_raw,it_org_mixed_raw,it_org_outsource_raw,it_invest_share_raw,it_invest_share_cat_raw,ai_use_raw,proc_improve_raw,decision_improve_raw,innov_outcome_raw
2021,10.0713735434683,1,11,1,0,0,0,0,0,1,1.0,0,4,4,4,10.0713735434683,1,11,1,2,,,,1,1,2,4,4,4
2021,6.54291979756102,1,11,1,0,0,0,0,0,1,1.0,0,4,3,4,6.54291979756102,1,11,1,2,,,,1,1,2,4,4,3
2021,7.18559921663349,1,11,1,1,0,1,0,2,1,1.0,0,3,3,3,7.18559921663349,1,11,1,1,0,1,0,1,1,3,3,3,3
2021,9.96428824835248,1,11,1,1,1,1,0,4,3,9.0,1,4,4,4,9.96428824835248,1,11,1,1,1,1,0,9,3,1,4,4,4
2021,1.40751614724557,1,13,3,1,1,0,0,1,1,1.0,0,5,3,4,1.40751614724557,1,13,3,1,1,0,0,1,1,2,5,4,3
2021,1.36951501483951,1,13,3,1,1,0,0,1,3,6.0,0,4,4,4,1.36951501483951,1,13,3,1,1,0,0,6,3,3,4,4,4
2021,1.22296883815019,1,13,3,1,1,0,1,4,1,1.0,0,5,1,4,1.22296883815019,1,13,3,1,1,0,1,1,1,2,5,4,1
2021,1.80979125904423,2,23,3,1,0,0,1,3,1,1.0,0,3,3,3,1.80979125904423,2,23,3,1,0,0,1,1,1,2,3,3,3
2021,2.24244968725818,2,23,3,1,0,1,0,2,3,6.0,0,4,4,4,2.24244968725818,2,23,3,1,0,1,0,6,3,3,4,4,4
2021,1.6691868590938,2,23,3,1,1,0,0,1,3,6.0,0,4,3,4,1.6691868590938,2,23,3,1,1,0,0,6,3,3,4,4,3
2021,1.6691868590938,2,23,3,1,0,1,1,4,1,1.0,0,4,3,4,1.6691868590938,2,23,3,1,0,1,1,1,1,2,4,4,3
2021,61.5002469481631,2,21,1,0,0,0,0,0,1,1.0,0,4,4,3,61.5002469481631,2,21,1,2,,,,1,1,2,4,3,4
2021,7.22885098235119,1,11,1,0,0,0,0,0,3,5.0,0,4,3,2,7.22885098235119,1,11,1,2,,,,5,3,2,4,2,3
2021,1.67274408488741,6,63,3,1,0,1,0,2,2,2.0,0,4,3,4,1.67274408488741,6,63,3,1,0,1,0,2,2,2,4,4,3
2021,1.18566863884632,7,73,3,1,0,1,0,2,1,1.0,0,4,4,4,1.18566863884632,7,73,3,1,0,1,0,1,1,2,4,4,4
2021,1.48634528115588,10,103,3,0,0,0,0,0,1,1.0,0,4,2,3,1.48634528115588,10,103,3,2,,,,1,1,2,4,3,2
2021,1.31466935351248,13,133,3,1,1,0,0,1,1,1.0,0,5,5,4,1.31466935351248,13,133,3,1,1,0,0,1,1,2,5,4,5
2021,7.22885098235119,1,11,1,0,0,0,0,0,3,5.0,0,4,2,3,7.22885098235119,1,11,1,2,,,,5,3,3,4,3,2
2021,18.5096017579804,10,101,1,1,0,1,0,2,1,1.0,0,4,3,3,18.5096017579804,10,101,1,1,0,1,0,1,1,2,4,3,3
2021,1.49519548683785,2,23,3,0,0,0,0,0,2,3.0,0,4,3,3,1.49519548683785,2,23,3,2,,,,3,2,3,4,3,3
2021,1.67400611704372,1,12,2,1,0,1,0,2,2,2.0,0,4,3,3,1.67400611704372,1,12,2,1,0,1,0,2,2,3,4,3,3
2021,6.06822575589555,6,62,2,0,0,0,0,0,2,2.0,1,4,3,4,6.06822575589555,6,62,2,2,,,,2,2,1,4,4,3
2021,5.83126494226899,7,72,2,1,1,1,1,4,1,1.0,0,5,5,5,5.83126494226899,7,72,2,1,1,1,1,1,1,2,5,5,5
2021,25.8475702899996,7,71,1,1,0,1,1,4,1,1.0,0,5,5,5,25.8475702899996,7,71,1,1,0,1,1,1,1,2,5,5,5
2021,27.3009567240363,4,41,1,1,0,0,1,3,1,1.0,0,4,3,4,27.3009567240363,4,41,1,1,0,0,1,1,1,2,4,4,3
2021,6.54291979756102,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,6.54291979756102,1,11,1,2,,,,1,1,2,3,3,3
2021,11.209825701582,10,101,1,0,0,0,0,0,1,1.0,0,3,2,4,11.209825701582,10,101,1,2,,,,1,1,2,3,4,2
2021,27.3009567240363,4,41,1,1,0,0,1,3,1,1.0,0,3,3,3,27.3009567240363,4,41,1,1,0,0,1,1,1,2,3,3,3
2021,27.3009567240363,4,41,1,1,0,0,1,3,1,1.0,0,2,2,2,27.3009567240363,4,41,1,1,0,0,1,1,1,2,2,2,2
2021,27.3009567240363,4,41,1,1,0,0,1,3,1,1.0,0,5,3,3,27.3009567240363,4,41,1,1,0,0,1,1,1,2,5,3,3
2021,27.3009567240363,4,41,1,1,0,0,1,3,1,1.0,0,2,2,3,27.3009567240363,4,41,1,1,0,0,1,1,1,2,2,3,2
2021,34.1117471825032,11,111,1,0,0,0,0,0,2,2.0,0,5,3,5,34.1117471825032,11,111,1,2,,,,2,2,2,5,5,3
2021,1.49487759815264,1,12,2,1,0,0,1,3,1,1.0,0,3,2,3,1.49487759815264,1,12,2,1,0,0,1,1,1,2,3,3,2
2021,27.3009567240363,4,41,1,1,0,1,0,2,1,1.0,0,3,2,3,27.3009567240363,4,41,1,1,0,1,0,1,1,2,3,3,2
2021,1.49487759815264,1,12,2,1,0,1,0,2,1,1.0,0,2,2,2,1.49487759815264,1,12,2,1,0,1,0,1,1,2,2,2,2
