variable,value,label,N,비율(%)
ai_use_sum,0,0,7139,58.502
ai_use_sum,1,1,1621,13.284
ai_use_sum,2,2,2022,16.57
ai_use_sum,3,3,930,7.621
ai_use_sum,4,4,336,2.753
ai_use_sum,5,5,89,0.729
ai_use_sum,6,6,37,0.303
ai_use_sum,7,7,9,0.074
ai_use_sum,8,8,9,0.074
ai_use_sum,9,9,11,0.09
it_invest_sum,1,1,1480,12.128
it_invest_sum,2,2,2652,21.732
it_invest_sum,3,3,3245,26.592
it_invest_sum,4,4,2596,21.273
it_invest_sum,5,5,1579,12.939
it_invest_sum,6,6,416,3.409
it_invest_sum,7,7,107,0.877
it_invest_sum,8,8,128,1.049
firm_size,1,10-49명,5666,46.431
firm_size,2,50-249명,3784,31.009
firm_size,3,250~999명,2113,17.315
firm_size,4,1000명 이상,640,5.245
industry,1,농림수산업(광업포함),477,3.909
industry,2,제조업,2769,22.691
industry,3,전기 등 공기조절 공급업/수도 등 원료 재생업,224,1.836
industry,4,건설업,1507,12.349
industry,5,도매 및 소매업,1237,10.137
industry,6,운수 및 창고업,634,5.195
industry,7,숙박 및 음식점업,451,3.696
industry,8,정보통신업,785,6.433
industry,9,금융 및 보험업,446,3.655
industry,10,부동산업,295,2.417
industry,11,"전문, 과학 및 기술서비스업",705,5.777
industry,12,"사업시설관리, 사업지원 및 서비스업",1197,9.809
industry,13,교육 서비스업,231,1.893
industry,14,보건업 및 사회복지서비스업,635,5.204
industry,15,"예술, 스포츠 및 여가관련 서비스업",350,2.868
industry,16,수리 및 기타 개인 서비스업,260,2.131
