figure_id,variable,group_code,group_label,valid_n,positive_n,percentage
fig_selected_1,ai_use,0,No org,29089,3526,12.121420468218227
fig_selected_1,ai_use,1,Internal,7911,2910,36.78422449753508
fig_selected_1,ai_use,2,Mixed-duty,12574,2315,18.4110068395101
fig_selected_1,ai_use,3,Outsourced,6942,696,10.025929127052722
fig_selected_1,ai_use,4,Multiple,4126,1609,38.99660688317984
fig_selected_2,proc_high,0,No org,29089,20340,69.92333871910344
fig_selected_2,proc_high,1,Internal,7911,7040,88.99001390468968
fig_selected_2,proc_high,2,Mixed-duty,12574,9563,76.05376173055511
fig_selected_2,proc_high,3,Outsourced,6942,5120,73.75396139441082
fig_selected_2,proc_high,4,Multiple,4126,3424,82.98594280174503
