변수명,값,라벨,N,비율(%)
industry,1,농림수산업(광업포함),477,3.91
industry,2,제조업,2769,22.69
industry,3,전기 등 공기조절 공급업/수도 등 원료 재생업,224,1.84
industry,4,건설업,1507,12.35
industry,5,도매 및 소매업,1237,10.14
industry,6,운수 및 창고업,634,5.2
industry,7,숙박 및 음식점업,451,3.7
industry,8,정보통신업,785,6.43
industry,9,금융 및 보험업,446,3.65
industry,10,부동산업,295,2.42
industry,11,"전문, 과학 및 기술서비스업",705,5.78
industry,12,"사업시설관리, 사업지원 및 서비스업",1197,9.81
industry,13,교육 서비스업,231,1.89
industry,14,보건업 및 사회복지서비스업,635,5.2
industry,15,"예술, 스포츠 및 여가관련 서비스업",350,2.87
industry,16,수리 및 기타 개인 서비스업,260,2.13
