변수,Model 1 H1 Baseline,Model 2 H2 Basic: AI × IT org,Model 3 H2 Headline,Model 4 H3: AI × DMI,Model 5 Integrated
AI 활용 범위,0.052*** (0.006),0.009 (0.009),-0.024** (0.009),0.002 (0.010),-0.029** (0.010)
정보화 담당 체계 보유,,0.116*** (0.017),0.011 (0.017),,0.011 (0.018)
디지털 성숙도,,,,0.028*** (0.002),0.015*** (0.002)
정보화 투자 범위,,,0.108*** (0.006),,0.094*** (0.006)
AI 활용 범위 × IT 조직,,0.064*** (0.011),0.057*** (0.011),,0.060*** (0.012)
AI 활용 범위 × DMI,,,,0.000 (0.001),-0.001† (0.001)
N,"12,203","12,203","12,203","12,203","12,203"
R²,0.112,0.125,0.148,0.126,0.151
Adj. R²,0.110,0.122,0.145,0.124,0.148
Controls,Yes,Yes,Yes,Yes,Yes
Industry FE,Yes,Yes,Yes,Yes,Yes
Region FE,Yes,Yes,Yes,Yes,Yes
Firm type FE,Yes,Yes,Yes,Yes,Yes
Investment control,No,No,Yes,No,Yes
