ai_use_sum,it_org_any,it_org_label,predicted,ci_lower,ci_upper,ai_range_rule,control_firm_size,control_industry,control_region,control_firm_type,control_it_invest_sum
0.0,0,it_org_any = 0,4.006439899202633,3.960174467794685,4.05270533061058,p5_to_p95,1,2,1,2,3.201425878882242
0.03,0,it_org_any = 0,4.005749048381496,3.9596131207913787,4.051884975971613,p5_to_p95,1,2,1,2,3.201425878882242
0.06,0,it_org_any = 0,4.00505819756036,3.9590460452834724,4.051070349837247,p5_to_p95,1,2,1,2,3.201425878882242
0.09,0,it_org_any = 0,4.004367346739224,3.9584731949220657,4.050261498556383,p5_to_p95,1,2,1,2,3.201425878882242
0.12,0,it_org_any = 0,4.0036764959180875,3.957894525054053,4.049458466782122,p5_to_p95,1,2,1,2,3.201425878882242
0.15,0,it_org_any = 0,4.002985645096951,3.957309992800699,4.048661297393203,p5_to_p95,1,2,1,2,3.201425878882242
0.18,0,it_org_any = 0,4.002294794275814,3.9567195571344134,4.047870031417214,p5_to_p95,1,2,1,2,3.201425878882242
0.21,0,it_org_any = 0,4.001603943454678,3.956123178953456,4.0470847079559,p5_to_p95,1,2,1,2,3.201425878882242
0.24,0,it_org_any = 0,4.000913092633542,3.955520821154244,4.046305364112841,p5_to_p95,1,2,1,2,3.201425878882242
0.27,0,it_org_any = 0,4.000222241812406,3.9549124487009935,4.045532034923817,p5_to_p95,1,2,1,2,3.201425878882242
0.3,0,it_org_any = 0,3.9995313909912693,3.954298028692391,4.044764753290147,p5_to_p95,1,2,1,2,3.201425878882242
0.32999999999999996,0,it_org_any = 0,3.9988405401701326,3.953677530425009,4.044003549915256,p5_to_p95,1,2,1,2,3.201425878882242
0.36,0,it_org_any = 0,3.9981496893489963,3.953050925453202,4.04324845324479,p5_to_p95,1,2,1,2,3.201425878882242
0.39,0,it_org_any = 0,3.99745883852786,3.9524181876452067,4.042499489410513,p5_to_p95,1,2,1,2,3.201425878882242
0.42,0,it_org_any = 0,3.9967679877067237,3.951779293235207,4.0417566821782405,p5_to_p95,1,2,1,2,3.201425878882242
0.44999999999999996,0,it_org_any = 0,3.9960771368855874,3.9511342208711158,4.041020052900059,p5_to_p95,1,2,1,2,3.201425878882242
0.48,0,it_org_any = 0,3.9953862860644507,3.9504829516578597,4.040289620471042,p5_to_p95,1,2,1,2,3.201425878882242
0.51,0,it_org_any = 0,3.9946954352433144,3.9498254691959636,4.039565401290665,p5_to_p95,1,2,1,2,3.201425878882242
0.54,0,it_org_any = 0,3.994004584422178,3.949161759615252,4.038847409229104,p5_to_p95,1,2,1,2,3.201425878882242
0.57,0,it_org_any = 0,3.993313733601042,3.94849181160351,4.038135655598573,p5_to_p95,1,2,1,2,3.201425878882242
0.6,0,it_org_any = 0,3.9926228827799055,3.9478156164299603,4.037430149129851,p5_to_p95,1,2,1,2,3.201425878882242
0.63,0,it_org_any = 0,3.991932031958769,3.9471331679634503,4.036730895954087,p5_to_p95,1,2,1,2,3.201425878882242
0.6599999999999999,0,it_org_any = 0,3.9912411811376325,3.9464444626852604,4.036037899590005,p5_to_p95,1,2,1,2,3.201425878882242
0.69,0,it_org_any = 0,3.990550330316496,3.9457494996964613,4.035351160936531,p5_to_p95,1,2,1,2,3.201425878882242
0.72,0,it_org_any = 0,3.98985947949536,3.945048280719797,4.034670678270923,p5_to_p95,1,2,1,2,3.201425878882242
0.75,0,it_org_any = 0,3.9891686286742236,3.9443408100960804,4.033996447252367,p5_to_p95,1,2,1,2,3.201425878882242
0.78,0,it_org_any = 0,3.988477777853087,3.9436270947751138,4.03332846093106,p5_to_p95,1,2,1,2,3.201425878882242
0.8099999999999999,0,it_org_any = 0,3.9877869270319506,3.9429071443011865,4.032666709762714,p5_to_p95,1,2,1,2,3.201425878882242
0.84,0,it_org_any = 0,3.9870960762108143,3.942180970793212,4.032011181628417,p5_to_p95,1,2,1,2,3.201425878882242
0.87,0,it_org_any = 0,3.986405225389678,3.941448588919608,4.031361861859748,p5_to_p95,1,2,1,2,3.201425878882242
0.8999999999999999,0,it_org_any = 0,3.9857143745685417,3.940710015868037,4.030718733269047,p5_to_p95,1,2,1,2,3.201425878882242
0.9299999999999999,0,it_org_any = 0,3.985023523747405,3.9399652713101507,4.03008177618466,p5_to_p95,1,2,1,2,3.201425878882242
0.96,0,it_org_any = 0,3.9843326729262687,3.9392143773615103,4.029450968491028,p5_to_p95,1,2,1,2,3.201425878882242
0.99,0,it_org_any = 0,3.9836418221051324,3.938457358536861,4.028826285673404,p5_to_p95,1,2,1,2,3.201425878882242
1.02,0,it_org_any = 0,3.982950971283996,3.9376942417009837,4.028207700867009,p5_to_p95,1,2,1,2,3.201425878882242
1.05,0,it_org_any = 0,3.98226012046286,3.9369250560153337,4.027595184910386,p5_to_p95,1,2,1,2,3.201425878882242
