2024 기업정보화통계조사_value labels,,,,
변수명,변수설명,,변수값,
Q1,컴퓨터 활용,1,예,
,,2,아니오,
Q1_1,컴퓨터 활용 - 데스크탑 컴퓨터,0,비해당,
,,1,해당,
Q1_2,컴퓨터 활용 - 노트북 컴퓨터,0,비해당,
,,1,해당,
Q1_3,컴퓨터 활용 - 스마트폰/태블릿 PC/PDA/포스,0,비해당,
,,1,해당,
Q1_4,컴퓨터 활용 - 기타,0,비해당,
,,1,해당,
REQ2,업무상 컴퓨터 이용률_recoding,1.00,20%미만,
,,2.00,20%~40%미만,
,,3.00,40%~60%미만,
,,4.00,60%~80%미만,
,,5.00,80%이상~100%,
Q3,네트워크(서버) 구축 여부,1,예,
,,2,아니오,
Q4,인터넷 이용,1,예,
,,2,아니오,
Q4_1,인터넷 접속 방법 - 케이블 모뎀,0,비해당,
,,1,해당,
Q4_2,인터넷 접속 방법 - 광랜,0,비해당,
,,1,해당,
Q4_3,인터넷 접속 방법 - 전용회선,0,비해당,
,,1,해당,
Q4_4,인터넷 접속 방법 - 무선랜,0,비해당,
,,1,해당,
Q4_5,인터넷 접속 방법 - 모바일 인터넷,0,비해당,
,,1,해당,
Q4_6,인터넷 접속 방법 - 기타,0,비해당,
,,1,해당,
REQ5,업무상 인터넷 이용률_recoding,1.00,20%미만,
,,2.00,20%~40%미만,
,,3.00,40%~60%미만,
,,4.00,60%~80%미만,
,,5.00,80%이상~100%,
Q6,웹사이트(홈페이지 등) 이용 여부,1,예,
,,2,아니오,
Q6_1,웹사이트(홈페이지 등) 이용 유형 - 홈페이지,0,비해당,
,,1,해당,
Q6_2,웹사이트(홈페이지 등) 이용 유형 - SNS,0,비해당,
,,1,해당,
Q6_3,웹사이트(홈페이지 등) 이용 유형 - 모바일 앱,0,비해당,
,,1,해당,
Q6_4,웹사이트(홈페이지 등) 이용 유형 - 동영상 채널,0,비해당,
,,1,해당,
Q6_5,웹사이트(홈페이지 등) 이용 유형 - 이커머스 플랫폼,0,비해당,
,,1,해당,
Q7_1,웹사이트 제공 기능 - 정보 제공,0,비해당,
,,1,해당,
Q7_2,"웹사이트 제공 기능 - 주문, 판매",0,비해당,
,,1,해당,
Q7_3,웹사이트 제공 기능 - 고객 지원 서비스,0,비해당,
,,1,해당,
Q7_4,웹사이트 제공 서비스 - 장애인용 서비스,0,비해당,
,,1,해당,
Q7_5,웹사이트 제공 서비스 - 외국어 지원 서비스,0,비해당,
,,1,해당,
Q8,전자상거래 이용 여부,1,예,
,,2,아니오,
Q8_1,전자상거래 구매(발주) 이용 여부,1,예,
,,2,아니오,
Q8_2,전자성거래 판매(수주) 이용 여부,1,예,
,,2,아니오,
REQ9,총 판매(수주)액 중 전자상거래 판매(수주)액 비율_recoding,1.00,20%미만,
,,2.00,20%~40%미만,
,,3.00,40%~60%미만,
,,4.00,60%~80%미만,
,,5.00,80%이상~100%,
Q11,전자정부 서비스 이용 여부,1,예,
,,2,아니오,
Q11_1,전자정부 이용서비스 - 정보 검색 및 조회,0,비해당,
,,1,해당,
Q11_2,전자정부 이용서비스 - 각종 행정(민원) 양식 획득(다운로드 포함),0,비해당,
,,1,해당,
Q11_3,전자정부 이용서비스 - 각종 행정(민원) 양식 작성 및 자료 제출,0,비해당,
,,1,해당,
Q11_4,전자정부 이용서비스 - 행정(민원) 업무 온라인 처리,0,비해당,
,,1,해당,
Q12,공공데이터 활용 여부,1,예,
,,2,아니오,
Q13_1,공공데이터 활용 수준 - 기초 수준,0,비해당,
,,1,해당,
Q13_2,공공데이터 활용 수준 - 기능적 활용,0,비해당,
,,1,해당,
Q13_3,공공데이터 활용 수준 - 전략적 응용,0,비해당,
,,1,해당,
Q13_4,공공데이터 활용 수준 - 수익 창출,0,비해당,
,,1,해당,
Q14,경영정보시스템 운영 여부,1,예,
,,2,아니오,
Q14_1,운영중인 시스템 또는 기술 - 전사적 자원 관리(ERP),0,비해당,
,,1,해당,
Q14_2,운영중인 시스템 또는 기술 - 고객관계 관리(CRM),0,비해당,
,,1,해당,
Q14_3,운영중인 시스템 또는 기술 - 공급망 관리(SCM),0,비해당,
,,1,해당,
Q14_4,운영중인 시스템 또는 기술 - 기타,0,비해당,
,,1,해당,
Q15_1,ERP 운영 방식,1,자체 구축,
,,2,아웃소싱,
,,3,자체 구축 및 아웃소싱 병행,
Q15_2,CRM 운영 방식,1,자체 구축,
,,2,아웃소싱,
,,3,자체 구축 및 아웃소싱 병행,
Q15_3,SCM 운영 방식,1,자체 구축,
,,2,아웃소싱,
,,3,자체 구축 및 아웃소싱 병행,
Q16,원격근무(스마트워크) 제도 운영 여부,1,예,
,,2,아니오,
Q16_1,원격근무(스마트워크) 운영 방식 - 재택 근무,0,비해당,
,,1,해당,
Q16_2,원격근무(스마트워크) 운영 방식 - 스마트오피스 근무,0,비해당,
,,1,해당,
Q16_3,원격근무(스마트워크) 운영 방식 - 이동(모바일) 근무,0,비해당,
,,1,해당,
Q16_4,원격근무(스마트워크) 운영 방식 - 기타,0,비해당,
,,1,해당,
Q17,사물인터넷(IoT) 이용 여부,1,예,
,,2,아니오,
Q17_1,사물인터넷(IoT) 이용 유형 - 기업 보안,0,비해당,
,,1,해당,
Q17_2,사물인터넷(IoT) 이용 유형 - 고객서비스,0,비해당,
,,1,해당,
Q17_3,사물인터넷(IoT) 이용 유형 - 결제 시스템,0,비해당,
,,1,해당,
Q17_4,사물인터넷(IoT) 이용 유형 - 생산/제조 프로세스 관리,0,비해당,
,,1,해당,
Q17_5,사물인터넷(IoT) 이용 유형 - 물류 재고 및 상태 (유지)관리,0,비해당,
,,1,해당,
Q17_6,사물인터넷(IoT) 이용 유형 - 에너지 관리,0,비해당,
,,1,해당,
Q17_7,사물인터넷(IoT) 이용 유형 - 스마트 빌딩‧오피스,0,비해당,
,,1,해당,
Q17_8,사물인터넷(IoT) 이용 유형 - 기타,0,비해당,
,,1,해당,
Q18_1,사물인터넷(IoT) 이용 목적 - 비용 절감,0,비해당,
,,1,해당,
Q18_2,사물인터넷(IoT) 이용 목적 - 업무 효율성 증대,0,비해당,
,,1,해당,
Q18_3,사물인터넷(IoT) 이용 목적 - 생산성 및 정보공유 증대,0,비해당,
,,1,해당,
Q18_4,사물인터넷(IoT) 이용 목적 - 정보보안 강화,0,비해당,
,,1,해당,
Q18_5,사물인터넷(IoT) 이용 목적 - 근무 환경 개선,0,비해당,
,,1,해당,
Q18_6,사물인터넷(IoT) 이용 목적 - 업무 방식 다양화,0,비해당,
,,1,해당,
Q18_7,사물인터넷(IoT) 이용 목적 - 서비스 안전성 강화,0,비해당,
,,1,해당,
Q18_8,사물인터넷(IoT) 이용 목적 - 고객 수요 반영,0,비해당,
,,1,해당,
Q18_9,사물인터넷(IoT) 이용 목적 - 기타,0,비해당,
,,1,해당,
Q19_1,사물인터넷(IoT) 미이용 이유 - 경제적 비용 부담,0,비해당,
,,1,해당,
Q19_2,사물인터넷(IoT) 미이용 이유 - 보안에 대한 우려,0,비해당,
,,1,해당,
Q19_3,사물인터넷(IoT) 미이용 이유 - 서비스(기술)의 복잡성,0,비해당,
,,1,해당,
Q19_4,사물인터넷(IoT) 미이용 이유 - 인프라 및 인력 부재,0,비해당,
,,1,해당,
Q19_5,사물인터넷(IoT) 미이용 이유 - 호환성 어려움,0,비해당,
,,1,해당,
Q19_6,사물인터넷(IoT) 미이용 이유 - 기타,0,비해당,
,,1,해당,
Q20,클라우드 컴퓨팅 서비스 이용 여부,1,예,
,,2,아니오,
Q20_1,클라우드 컴퓨팅 서비스 이용 유형 - 이메일,0,비해당,
,,1,해당,
Q20_2,클라우드 컴퓨팅 서비스 이용 유형 - 오피스 소프트웨어,0,비해당,
,,1,해당,
Q20_3,클라우드 컴퓨팅 서비스 이용 유형 - 재무 또는 회계 소프트웨어 애플리케이션,0,비해당,
,,1,해당,
Q20_4,클라우드 컴퓨팅 서비스 이용 유형 - ERP(전사적 자원 관리) 소프트웨어,0,비해당,
,,1,해당,
Q20_5,클라우드 컴퓨팅 서비스 이용 유형 - 고객 관계 관리(CRM),0,비해당,
,,1,해당,
Q20_6,클라우드 컴퓨팅 서비스 이용 유형 - 보안 소프트웨어,0,비해당,
,,1,해당,
Q20_7,"클라우드 컴퓨팅 서비스 이용 유형 - 협업(영상회의, 메신저, 일정 관리 등) 관련 소프트웨어",0,비해당,
,,1,해당,
Q20_8,클라우드 컴퓨팅 서비스 이용 유형 - 데이터베이스 호스팅,0,비해당,
,,1,해당,
Q20_9,클라우드 컴퓨팅 서비스 이용 유형 - 파일 저장,0,비해당,
,,1,해당,
Q20_10,클라우드 컴퓨팅 서비스 이용 유형 - 기업 소유의 소프트웨어를 실행하기 위한 컴퓨팅 기능,0,비해당,
,,1,해당,
Q20_11,"클라우드 컴퓨팅 서비스 이용 유형 - 애플리케이션 개발, 테스트 및 배포",0,비해당,
,,1,해당,
Q20_12,클라우드 컴퓨팅 서비스 이용 유형 - 기타,0,비해당,
,,1,해당,
Q21_1,클라우드 컴퓨팅 서비스 이용 목적 - 비용 절감,0,비해당,
,,1,해당,
Q21_2,클라우드 컴퓨팅 서비스 이용 목적 - 업무 효율성 증대,0,비해당,
,,1,해당,
Q21_3,클라우드 컴퓨팅 서비스 이용 목적 - 생산성 및 정보공유 증대,0,비해당,
,,1,해당,
Q21_4,클라우드 컴퓨팅 서비스 이용 목적 - 정보보안 강화,0,비해당,
,,1,해당,
Q21_5,클라우드 컴퓨팅 서비스 이용 목적 - 근무 환경 개선,0,비해당,
,,1,해당,
Q21_6,클라우드 컴퓨팅 서비스 이용 목적 - 업무 방식 다양화,0,비해당,
,,1,해당,
Q21_7,클라우드 컴퓨팅 서비스 이용 목적 - 서비스 안전성 강화,0,비해당,
,,1,해당,
Q21_8,클라우드 컴퓨팅 서비스 이용 목적 - 고객 수요 반영,0,비해당,
,,1,해당,
Q21_9,클라우드 컴퓨팅 서비스 이용 목적 - 기타,0,비해당,
,,1,해당,
Q22_1,클라우드 컴퓨팅 서비스 미이용 이유 - 경제적 비용 부담,0,비해당,
,,1,해당,
Q22_2,클라우드 컴퓨팅 서비스 미이용 이유 - 보안에 대한 우려,0,비해당,
,,1,해당,
Q22_3,클라우드 컴퓨팅 서비스 미이용 이유 - 서비스(기술)의 복잡성,0,비해당,
,,1,해당,
Q22_4,클라우드 컴퓨팅 서비스 미이용 이유 - 인프라 및 인력 부재,0,비해당,
,,1,해당,
Q22_5,클라우드 컴퓨팅 서비스 미이용 이유 - 호환성 어려움,0,비해당,
,,1,해당,
Q22_6,클라우드 컴퓨팅 서비스 미이용 이유 - 기타,0,비해당,
,,1,해당,
Q23,데이터 분석 및 서비스 이용 여부,1,예,
,,2,아니오,
Q23_1,분석 데이터 유형 - 공공데이터,0,비해당,
,,1,해당,
Q23_2,분석 데이터 유형 - 거래데이터,0,비해당,
,,1,해당,
Q23_3,분석 데이터 유형 - 고객정보 데이터,0,비해당,
,,1,해당,
Q23_4,분석 데이터 유형 - 소셜미디어 데이터,0,비해당,
,,1,해당,
Q23_5,분석 데이터 유형 - 웹 데이터,0,비해당,
,,1,해당,
