year,weight,industry,industry_size,firm_size,it_org_any,it_org_internal,it_org_mixed,it_org_outsource,it_org_type,it_invest_share,ai_use,proc_improve,innov_outcome,decision_improve,weight_raw,industry_raw,industry_size_raw,firm_size_raw,it_org_any_raw,it_org_internal_raw,it_org_mixed_raw,it_org_outsource_raw,it_invest_share_raw,ai_use_raw,proc_efficiency_raw,proc_cost_raw
2019,50.957205,8,82,2,1,0,0,1,3,2.0,0,3,,,50.957205,8,82,2,1,0,0,1,2,2,3,3
2019,0.813044892,1,15,5,1,1,0,0,1,3.0,0,4,,,0.813044892,1,15,5,1,1,0,0,3,2,4,3
2019,50.53092744,13,134,4,1,0,1,0,2,2.0,0,4,,,50.53092744,13,134,4,1,0,1,0,2,2,5,4
2019,274.8609412,13,133,3,1,0,1,0,2,2.0,0,4,,,274.8609412,13,133,3,1,0,1,0,2,2,4,4
2019,166.0658299,13,133,3,0,0,0,0,0,2.0,0,4,,,166.0658299,13,133,3,2,,,,2,2,4,4
2019,74.96396732,10,103,3,1,0,1,0,2,2.0,0,4,,,74.96396732,10,103,3,1,0,1,0,2,2,4,4
2019,13.34723845,11,114,4,1,1,0,1,4,2.0,0,5,,,13.34723845,11,114,4,1,1,0,1,2,2,5,5
2019,56.33104649,11,112,2,1,0,1,0,2,2.0,0,5,,,56.33104649,11,112,2,1,0,1,0,2,2,5,5
2019,173.6098184,3,32,2,0,0,0,0,0,2.0,0,4,,,173.6098184,3,32,2,2,,,,2,2,4,4
2019,44.87137166,11,113,3,0,0,0,0,0,2.0,0,2,,,44.87137166,11,113,3,2,,,,2,3,2,2
2019,12.43908038,8,84,4,1,0,1,0,2,2.0,0,4,,,12.43908038,8,84,4,1,0,1,0,2,2,5,4
2019,25.80794009,2,24,4,1,0,1,0,2,2.0,0,3,,,25.80794009,2,24,4,1,0,1,0,2,2,3,3
2019,56.33104649,11,112,2,0,0,0,0,0,2.0,0,4,,,56.33104649,11,112,2,2,,,,2,3,4,4
2019,9.948814145,1,12,2,0,0,0,0,0,2.0,0,2,,,9.948814145,1,12,2,2,,,,2,2,3,2
