year,variable,raw_unique_values,raw_non_missing_n,raw_missing_n,cleaned_unique_values,cleaned_non_missing_n,cleaned_missing_n,inferred_type,notes
2019,it_org_any_raw,1|2,13456,0,0|1,13456,0,binary_yes_no,binary standardization
2019,it_org_internal_raw,0|1,3733,9723,1,1221,12235,binary_yes_no,binary standardization
2019,it_org_mixed_raw,0|1,3733,9723,1,1617,11839,binary_yes_no,binary standardization
2019,it_org_outsource_raw,0|1,3733,9723,1,1530,11926,binary_yes_no,binary standardization
2019,ai_use_raw,1|2|3,13456,0,0|1,13456,0,binary_yes_no,binary standardization
2019,it_invest_share_raw,2|3|4,12752,704,2.0|3.0|4.0,12752,704,continuous_numeric,numeric conversion only
2019,proc_efficiency_raw,1|2|3|4|5,13456,0,1|2|3|4|5,13456,0,ordinal_likert_or_ordered_category,"2019 proc_improve input, raw scale preserved"
2019,proc_cost_raw,1|2|3|4|5,13456,0,1|2|3|4|5,13456,0,ordinal_likert_or_ordered_category,"2019 proc_improve input, raw scale preserved"
2019,weight_raw,0.797677024|0.813044892|0.842686487|1.030383258|1.061278744|1.083310353|1.084945774|1.130035961|1.139450995|1.144859836|1.145772225|1.16310542|1.164861304|1.168626546|1.170390765|1.174740959|1.177563369|1.182683035|1.184468475|1.185022675|...(+2084),13456,0,0.797677024|0.813044892|0.842686487|1.030383258|1.061278744|1.083310353|1.084945774|1.130035961|1.139450995|1.144859836|1.145772225|1.16310542|1.164861304|1.168626546|1.170390765|1.174740959|1.177563369|1.182683035|1.184468475|1.185022675|...(+2084),13456,0,continuous_numeric,raw preserved
2019,industry_raw,1|10|11|12|13|2|3|4|5|6|7|8|9,13456,0,1|10|11|12|13|2|3|4|5|6|7|8|9,13456,0,nominal_categorical,raw preserved
2019,industry_size_raw,101|102|103|104|105|11|111|112|113|114|115|12|121|122|123|124|125|13|131|132|...(+45),13456,0,101|102|103|104|105|11|111|112|113|114|115|12|121|122|123|124|125|13|131|132|...(+45),13456,0,nominal_categorical,raw preserved
2019,firm_size_raw,1|2|3|4|5,13456,0,1|2|3|4|5,13456,0,ordinal_likert_or_ordered_category,raw preserved
2019,it_org_any_raw,1|2,13456,0,1|2,13456,0,binary_yes_no,raw preserved
2019,it_org_internal_raw,0|1,3733,9723,0|1,3733,9723,binary_yes_no,raw preserved
2019,it_org_mixed_raw,0|1,3733,9723,0|1,3733,9723,binary_yes_no,raw preserved
2019,it_org_outsource_raw,0|1,3733,9723,0|1,3733,9723,binary_yes_no,raw preserved
2019,it_invest_share_raw,2|3|4,12752,704,2|3|4,12752,704,continuous_numeric,raw preserved
2019,ai_use_raw,1|2|3,13456,0,1|2|3,13456,0,binary_yes_no,raw preserved
2019,proc_efficiency_raw,1|2|3|4|5,13456,0,1|2|3|4|5,13456,0,ordinal_likert_or_ordered_category,raw preserved
2019,proc_cost_raw,1|2|3|4|5,13456,0,1|2|3|4|5,13456,0,ordinal_likert_or_ordered_category,raw preserved
2020,it_org_any_raw,1|2,12099,0,0|1,12099,0,binary_yes_no,binary standardization
2020,it_org_internal_raw,0|1,6195,5904,1,1582,10517,binary_yes_no,binary standardization
2020,it_org_mixed_raw,0|1,6195,5904,1,2058,10041,binary_yes_no,binary standardization
2020,it_org_outsource_raw,0|1,6195,5904,1,3063,9036,binary_yes_no,binary standardization
2020,ai_use_raw,1|2|3,12099,0,0|1,12099,0,binary_yes_no,binary standardization
2020,it_invest_share_raw,1|2|3|4,12071,28,1.0|2.0|3.0|4.0,12071,28,continuous_numeric,numeric conversion only
2020,proc_improve_raw,1|2|3|4|5,12099,0,1|2|3|4|5,12099,0,ordinal_likert_or_ordered_category,raw Likert scale preserved in proc_improve
2020,innov_outcome_raw,1|2|3|4|5,12099,0,1|2|3|4|5,12099,0,ordinal_likert_or_ordered_category,raw Likert scale preserved in innov_outcome
2020,decision_improve_raw,1|2|3|4|5,12099,0,1|2|3|4|5,12099,0,ordinal_likert_or_ordered_category,raw Likert scale preserved in decision_improve
2020,weight_raw,0.897368844|0.904833328|0.953220397|0.971239846|0.971858267|0.978443602|0.999862234|1.003341622|1.007477334|1.010579287|1.010783479|1.015857721|1.018717847|1.018985477|1.027058326|1.030682493|1.035601591|1.040776845|1.047210577|1.049434223|...(+916),12099,0,0.897368844|0.904833328|0.953220397|0.971239846|0.971858267|0.978443602|0.999862234|1.003341622|1.007477334|1.010579287|1.010783479|1.015857721|1.018717847|1.018985477|1.027058326|1.030682493|1.035601591|1.040776845|1.047210577|1.049434223|...(+916),12099,0,continuous_numeric,raw preserved
2020,industry_raw,1|10|11|12|13|14|15|16|2|3|4|5|6|7|8|9|99,12099,0,1|10|11|12|13|14|15|16|2|3|4|5|6|7|8|9|99,12099,0,nominal_categorical,raw preserved
2020,industry_size_raw,101|102|103|11|111|112|113|12|121|122|123|13|131|132|133|141|142|143|151|152|...(+28),12099,0,101|102|103|11|111|112|113|12|121|122|123|13|131|132|133|141|142|143|151|152|...(+28),12099,0,nominal_categorical,raw preserved
2020,it_org_any_raw,1|2,12099,0,1|2,12099,0,binary_yes_no,raw preserved
2020,it_org_internal_raw,0|1,6195,5904,0|1,6195,5904,binary_yes_no,raw preserved
2020,it_org_mixed_raw,0|1,6195,5904,0|1,6195,5904,binary_yes_no,raw preserved
2020,it_org_outsource_raw,0|1,6195,5904,0|1,6195,5904,binary_yes_no,raw preserved
2020,it_invest_share_raw,1|2|3|4,12071,28,1|2|3|4,12071,28,continuous_numeric,raw preserved
2020,ai_use_raw,1|2|3,12099,0,1|2|3,12099,0,binary_yes_no,raw preserved
2020,proc_improve_raw,1|2|3|4|5,12099,0,1|2|3|4|5,12099,0,ordinal_likert_or_ordered_category,raw preserved
2020,decision_improve_raw,1|2|3|4|5,12099,0,1|2|3|4|5,12099,0,ordinal_likert_or_ordered_category,raw preserved
