year,variable,raw_unique_values,inferred_type,mapping_basis,warnings
2019,weight_raw,0.797677024|0.813044892|0.842686487|1.030383258|1.061278744|1.083310353|1.084945774|1.130035961|1.139450995|1.144859836|1.145772225|1.16310542|1.164861304|1.168626546|1.170390765|1.174740959|1.177563369|1.182683035|1.184468475|1.185022675|...(+2084),continuous_numeric,"관측값: 0.797677024,0.813044892,0.842686487,1.030383258,1.061278744,1.083310353,1.084945774,1.130035961,1.139450995,1.144859836 ...(+2094)",
2019,industry_raw,1|10|11|12|13|2|3|4|5|6|7|8|9,nominal_categorical,"코드북: 1:농림수산업(광업 포함) / 2:제조업 / 3:건설업 / 4:도매 및 소매업 / 5:운수 및 창고업 / 6:숙박 및 음식점업 / 7:정보통신업 / 8:금융 및 보험업 ; 관측값: 1,10,11,12,13,2,3,4,5,6 ...(+3)",
2019,industry_size_raw,101|102|103|104|105|11|111|112|113|114|115|12|121|122|123|124|125|13|131|132|...(+45),nominal_categorical,"코드북: 11:농림수산업(광업 포함)-1-4명 / 12:농림수산업(광업 포함)-5-9명 / 13:농림수산업(광업 포함)-10-49명 / 14:농림수산업(광업 포함)-50-249명 / 15:농림수산업(광업 포함)-250명 이상 / 21:제조업-1-4명 / 22:제조업-5-9명 / 23:제조업-10-49명 ; 관측값: 101,102,103,104,105,11,111,112,113,114 ...(+55)",
2019,firm_size_raw,1|2|3|4|5,ordinal_likert_or_ordered_category,"코드북: 1:1-4명 / 2:5-9명 / 3:10-49명 / 4:50-249명 / 5:250 이상 ; 관측값: 1,2,3,4,5",
2019,it_org_any_raw,1|2,binary_yes_no,"코드북: 1:예 / 2:아니오 ; 관측값: 1,2",
2019,it_org_internal_raw,0|1,binary_yes_no,"코드북: 0:비해당 / 1:해당 ; 관측값: 0,1",
2019,it_org_mixed_raw,0|1,binary_yes_no,"코드북: 0:비해당 / 1:해당 ; 관측값: 0,1",
2019,it_org_outsource_raw,0|1,binary_yes_no,"코드북: 0:비해당 / 1:해당 ; 관측값: 0,1",
2019,it_invest_share_raw,2|3|4,continuous_numeric,"코드북: 1:1%이하 / 2:1%~5%미만 / 3:5%~10%미만 / 4:10%이상 / 997:본사 관리 / 998:거절 / 999:모름 ; 관측값: 2,3,4",
2019,ai_use_raw,1|2|3,binary_yes_no,"코드북: 1:예 / 2:아니오, 그러나 인공지능 기술 및 서비스에 대해 알고 있음 / 3:아니오, 인공지능 기술 및 서비스에 대해 모름 ; 관측값: 1,2,3",
2019,proc_efficiency_raw,1|2|3|4|5,ordinal_likert_or_ordered_category,"코드북: 1:①  전혀 효과 없음 / 2:②  효과 없음 / 3:③  보통 / 4:④  효과 있음 / 5:⑤  매우 효과 있음 / 6:④+⑤ / 9:모름 / 무응답 ; 관측값: 1,2,3,4,5",
2019,proc_cost_raw,1|2|3|4|5,ordinal_likert_or_ordered_category,"코드북: 1:①  전혀 효과 없음 / 2:②  효과 없음 / 3:③  보통 / 4:④  효과 있음 / 5:⑤  매우 효과 있음 / 6:④+⑤ / 9:모름 / 무응답 ; 관측값: 1,2,3,4,5",
