it_org_any_raw,it_org_internal_raw,it_org_mixed_raw,it_org_outsource_raw,it_invest_share_raw,it_invest_share_cat_raw,ai_use_raw,proc_improve_raw,decision_improve_raw,innov_outcome_raw,firm_size_raw,industry_raw,industry_size_raw,weight_raw,year
2, , , ,1,1,2,4,4,2,1,1,11,2.9139802315933,2023
2, , , ,1,1,2,4,4,2,1,1,11,2.9139802315933,2023
1,0,0,1,1,1,2,4,3,2,1,1,11,2.9139802315933,2023
2, , , ,1,1,2,4,3,2,1,1,11,2.9139802315933,2023
1,0,0,1,1,1,2,4,4,2,1,1,11,2.9139802315933,2023
2, , , ,1,1,2,4,4,3,1,1,11,2.9139802315933,2023
2, , , ,1,1,1,3,4,3,1,1,11,3.6887947353194,2023
2, , , ,1,1,2,5,4,5,1,1,11,3.6887947353194,2023
1,0,0,1,1,1,2,5,5,4,1,1,11,3.6887947353194,2023
1,0,0,1,1,1,2,5,4,3,1,1,11,3.1684283555084,2023
2, , , ,1,1,2,4,4,4,1,1,11,2.9687605170914,2023
2, , , ,1,1,2,4,4,5,1,1,11,2.9687605170914,2023
2, , , ,1,1,2,3,3,3,1,1,11,2.9687605170914,2023
2, , , ,1,1,2,4,3,4,1,1,11,2.9687605170914,2023
1,0,1,0,1,1,2,3,4,4,1,1,11,2.9970877470703,2023
1,0,1,0,1,1,2,4,3,4,1,1,11,2.9970877470703,2023
1,0,1,0,1,1,2,4,3,3,1,1,11,2.9970877470703,2023
2, , , ,1,1,2,3,3,3,1,1,11,2.7881475356377,2023
2, , , ,1,1,2,4,4,3,1,1,11,3.1065300909693,2023
2, , , ,1,1,2,3,3,2,1,1,11,3.6167306181175,2023
2, , , ,1,1,2,4,3,2,1,1,11,3.1065300909693,2023
2, , , ,1,1,2,4,3,2,1,1,11,3.1065300909693,2023
2, , , ,1,1,2,5,4,4,1,1,11,3.1065300909693,2023
2, , , ,1,1,2,3,3,2,1,1,11,3.1065300909693,2023
2, , , ,1,1,2,3,3,2,1,1,11,3.1065300909693,2023
2, , , ,1,1,2,3,3,2,1,1,11,3.1065300909693,2023
2, , , ,1,1,1,4,4,4,1,1,11,2.9380231380663,2023
2, , , ,1,1,1,4,5,5,1,1,11,2.9380231380663,2023
2, , , ,1,1,1,4,5,4,1,1,11,2.9380231380663,2023
1,0,0,1,1,1,1,5,5,5,1,1,11,2.9380231380663,2023
1,0,1,1,2,2,1,4,5,5,1,1,11,2.9380231380663,2023
1,0,1,1,4,2,1,4,5,5,1,1,11,2.9380231380663,2023
2, , , ,1,1,1,4,4,5,1,1,11,2.9380231380663,2023
2, , , ,1,1,1,5,5,5,1,1,11,2.9380231380663,2023
2, , , ,1,1,1,4,5,4,1,1,11,2.9380231380663,2023
1,0,1,0,1,1,1,5,5,4,1,1,11,2.9380231380663,2023
1,0,1,0,1,1,1,4,5,4,1,1,11,2.9380231380663,2023
2, , , ,1,1,1,5,5,5,1,1,11,2.9380231380663,2023
1,0,0,1,1,1,1,4,5,5,1,1,11,3.4205489497983,2023
1,1,0,0,1,1,1,4,3,4,1,1,11,2.9380231380663,2023
1,0,0,1,1,1,1,4,4,4,1,1,11,3.4205489497983,2023
2, , , ,1,1,1,4,4,5,1,1,11,2.9380231380663,2023
2, , , ,1,1,1,4,4,5,1,1,11,2.9380231380663,2023
2, , , ,1,1,1,4,5,5,1,1,11,2.9380231380663,2023
2, , , ,1,1,1,4,5,5,1,1,11,2.9380231380663,2023
1,0,1,0,1,1,2,4,4,5,1,1,11,2.9380231380663,2023
1,0,1,0,1,1,2,4,5,4,1,1,11,2.9380231380663,2023
2, , , ,1,1,2,4,3,3,1,1,11,3.0777235862669,2023
2, , , ,1,1,2,4,5,4,1,1,11,3.0777235862669,2023
2, , , ,1,1,2,4,3,3,1,1,11,3.583193081217,2023
2, , , ,1,1,2,4,4,4,1,1,11,3.0777235862669,2023
1,0,0,1,1,1,2,4,5,4,1,1,11,3.0777235862669,2023
2, , , ,1,1,2,4,4,1,1,1,11,3.0777235862669,2023
1,0,1,0,1,1,2,4,4,3,1,1,11,3.0777235862669,2023
2, , , ,1,1,2,4,4,2,1,1,11,3.0777235862669,2023
1,1,0,0,3,2,1,5,3,5,1,1,11,3.0777235862669,2023
2, , , ,1,1,2,5,3,3,1,1,11,3.0777235862669,2023
2, , , ,1,1,2,4,3,3,1,1,11,3.2733220854886,2023
2, , , ,1,1,2,3,3,3,1,1,11,3.2733220854886,2023
2, , , ,1,1,2,4,4,4,1,1,11,3.2733220854886,2023
2, , , ,1,1,2,4,5,4,1,1,11,3.2733220854886,2023
2, , , ,1,1,2,4,3,3,1,1,11,3.810915672107,2023
2, , , ,1,1,2,4,3,2,1,1,11,3.2733220854886,2023
2, , , ,1,1,2,4,3,3,1,1,11,3.2733220854886,2023
2, , , ,1,1,2,4,4,4,1,1,11,3.2733220854886,2023
2, , , ,1,1,2,4,4,2,1,1,11,3.2733220854886,2023
1,0,1,0,1,1,2,4,3,3,1,1,11,3.2733220854886,2023
2, , , ,1,1,2,4,4,2,1,1,11,3.2733220854886,2023
1,1,0,0,1,1,2,4,3,3,1,1,11,3.2733220854886,2023
2, , , ,1,1,2,2,2,1,1,1,11,3.810915672107,2023
2, , , ,1,1,2,5,2,1,1,1,11,3.810915672107,2023
2, , , ,1,1,2,5,3,1,1,1,11,3.810915672107,2023
1,1,0,0,1,1,2,5,3,4,1,1,11,3.810915672107,2023
2, , , ,1,1,2,5,4,3,1,1,11,3.810915672107,2023
1,0,0,1,1,1,1,3,3,3,1,1,11,3.3063099720774,2023
2, , , ,3,2,1,4,4,4,1,1,11,3.3063099720774,2023
2, , , ,1,1,2,3,3,3,1,1,11,3.3063099720774,2023
2, , , ,1,1,2,4,4,4,1,1,11,3.3063099720774,2023
2, , , ,5,3,2,4,4,4,1,1,11,3.3063099720774,2023
2, , , ,1,1,1,3,3,3,1,1,11,3.3063099720774,2023
2, , , ,1,1,1,3,3,3,1,1,11,3.3063099720774,2023
2, , , ,1,1,1,3,3,3,1,1,11,3.3063099720774,2023
2, , , ,1,1,2,4,3,3,1,1,11,3.3063099720774,2023
2, , , ,1,1,2,3,3,3,1,1,11,3.3063099720774,2023
2, , , ,1,1,2,4,3,3,1,1,11,3.3063099720774,2023
1,0,1,0,2,2,1,4,4,3,1,1,11,3.8493213195525,2023
1,0,1,0,1,1,1,4,3,3,1,1,11,3.3063099720774,2023
2, , , ,1,1,2,3,3,3,1,1,11,3.4733764683648,2023
2, , , ,1,1,2,4,4,4,1,1,11,3.4733764683648,2023
2, , , ,1,1,2,4,3,3,1,1,11,2.9833984489163,2023
2, , , ,1,1,2,3,3,3,1,1,11,2.9833984489163,2023
2, , , ,5,3,1,4,4,4,1,1,11,2.9833984489163,2023
2, , , ,1,1,1,4,3,3,1,1,11,2.9833984489163,2023
2, , , ,1,1,2,4,3,3,1,1,11,3.4733764683648,2023
2, , , ,1,1,2,4,3,3,1,1,11,2.9833984489163,2023
2, , , ,1,1,2,3,3,3,1,1,11,2.9833984489163,2023
2, , , ,1,1,2,4,3,3,1,1,11,2.9833984489163,2023
2, , , ,1,1,2,4,3,3,1,1,11,2.9833984489163,2023
