Q41,Q41A1,Q41A2,Q41A3,Q40,Q33,Q42A1,Q42A3,Q42A5,D_IND,D_INDSIZE1,WT,year
2, , , ,1,2,4,3,2,1,11,9.901691526,2020
2, , , ,1,2,4,2,2,1,11,9.901691526,2020
2, , , ,1,2,3,2,3,1,11,7.646605535,2020
2, , , ,1,3,3,3,3,1,11,7.646605535,2020
2, , , ,1,2,4,3,4,1,11,7.646605535,2020
1,0,0,1,1,2,4,4,4,1,11,7.646605535,2020
1,0,0,1,1,2,3,4,3,1,11,9.901691526,2020
2, , , ,1,2,4,5,5,1,11,7.646605535,2020
2, , , ,1,2,3,3,3,1,11,7.646605535,2020
2, , , ,1,2,3,2,3,1,11,7.646605535,2020
2, , , ,1,2,4,3,4,1,11,7.646605535,2020
2, , , ,1,2,3,3,3,1,11,7.646605535,2020
2, , , ,1,2,5,2,3,1,11,7.138625992,2020
2, , , ,1,2,3,4,4,1,11,7.646605535,2020
2, , , ,1,2,3,3,4,1,11,7.646605535,2020
2, , , ,1,3,2,2,2,1,11,9.901691526,2020
2, , , ,1,2,3,2,3,1,11,7.646605535,2020
2, , , ,1,2,4,2,3,1,11,7.138625992,2020
2, , , ,1,2,5,3,3,1,11,7.138625992,2020
2, , , ,1,3,3,2,3,1,11,9.901691526,2020
2, , , ,1,2,4,3,3,99,12,2.154726537,2020
2, , , ,1,3,4,4,3,1,12,2.308055343,2020
2, , , ,1,2,3,3,3,1,12,2.308055343,2020
2, , , ,2,2,4,3,3,1,12,2.308055343,2020
1,0,0,1,1,2,3,4,3,2,21,46.31072413,2020
2, , , ,1,2,4,3,3,2,21,44.92415182,2020
2, , , ,1,2,4,3,3,2,21,44.92415182,2020
2, , , ,1,2,4,3,4,2,21,48.12092247,2020
2, , , ,1,2,3,3,3,2,21,62.31242453,2020
2, , , ,1,2,3,4,3,2,21,48.12092247,2020
1,0,0,1,1,2,4,5,3,2,21,46.31072413,2020
2, , , ,1,2,3,3,3,2,21,48.12092247,2020
2, , , ,1,2,4,3,4,2,21,48.12092247,2020
2, , , ,1,2,4,4,3,2,21,58.17288356,2020
2, , , ,1,2,3,2,3,2,21,48.12092247,2020
2, , , ,1,2,3,2,4,2,21,48.12092247,2020
2, , , ,1,2,3,4,4,2,21,48.12092247,2020
1,0,0,1,1,2,3,4,3,2,21,46.31072413,2020
2, , , ,1,2,4,2,4,2,21,48.12092247,2020
2, , , ,1,2,3,2,3,2,21,48.12092247,2020
2, , , ,1,2,3,2,3,2,21,62.31242453,2020
1,0,0,1,1,2,4,4,3,2,21,46.31072413,2020
1,0,0,1,1,2,4,3,3,2,21,46.31072413,2020
1,0,1,1,1,2,3,4,4,2,21,48.12092247,2020
2, , , ,1,2,3,3,4,99,21,59.96837454,2020
2, , , ,1,2,4,3,3,2,21,58.17288356,2020
2, , , ,1,2,5,3,3,2,21,44.92415182,2020
2, , , ,1,2,4,4,5,2,21,48.12092247,2020
1,0,0,1,1,2,5,3,4,2,21,44.92415182,2020
1,0,0,1,1,2,3,3,3,2,21,48.12092247,2020
1,0,0,1,1,2,4,3,4,2,21,48.12092247,2020
2, , , ,1,2,5,3,3,2,21,44.92415182,2020
1,0,1,1,1,2,4,4,5,2,21,48.12092247,2020
1,0,0,1,1,2,4,3,4,2,21,46.31072413,2020
1,0,1,1,1,2,4,4,4,2,21,48.12092247,2020
2, , , ,1,2,4,3,3,2,21,46.31072413,2020
2, , , ,1,2,4,4,3,2,21,48.12092247,2020
2, , , ,1,2,4,2,3,2,21,48.12092247,2020
1,0,0,1,1,2,4,3,3,2,21,46.31072413,2020
2, , , ,1,2,3,2,3,2,21,48.12092247,2020
2, , , ,1,3,3,3,4,2,21,46.31072413,2020
1,0,0,1,1,2,5,4,4,2,21,44.92415182,2020
2, , , ,1,2,5,4,3,2,21,44.92415182,2020
2, , , ,1,2,3,2,3,2,21,62.31242453,2020
2, , , ,1,2,5,3,3,2,21,44.92415182,2020
2, , , ,1,2,4,2,3,2,21,48.12092247,2020
1,0,0,1,1,2,5,4,4,2,21,44.92415182,2020
1,0,0,1,1,2,3,3,3,2,21,48.12092247,2020
1,0,0,1,1,2,4,4,5,2,21,48.12092247,2020
2, , , ,1,2,5,4,4,2,21,44.92415182,2020
2, , , ,2,3,3,3,3,2,22,9.698236153,2020
2, , , ,1,2,3,3,3,2,22,9.407864841,2020
2, , , ,1,2,4,3,4,2,22,10.0773218,2020
2, , , ,1,2,4,3,3,2,22,9.698236153,2020
2, , , ,1,2,5,4,5,2,22,9.407864841,2020
2, , , ,2,3,4,3,3,2,22,9.698236153,2020
2, , , ,1,2,4,4,3,2,22,9.698236153,2020
1,0,0,1,2,2,4,4,3,2,22,10.0773218,2020
1,0,0,1,1,2,3,3,3,2,22,9.698236153,2020
1,0,0,1,1,2,3,4,3,2,22,9.698236153,2020
1,0,0,1,2,2,4,4,3,2,22,10.0773218,2020
2, , , ,1,1,3,3,3,2,22,9.698236153,2020
2, , , ,2,3,4,4,4,2,22,9.698236153,2020
2, , , ,2,2,5,4,4,2,22,9.407864841,2020
2, , , ,2,3,4,4,3,2,22,9.698236153,2020
1,0,0,1,1,2,4,3,3,2,22,10.0773218,2020
1,0,0,1,1,2,4,4,4,2,22,10.0773218,2020
2, , , ,1,2,4,3,4,2,22,10.0773218,2020
1,0,0,1,1,2,4,4,5,2,22,10.0773218,2020
2, , , ,1,2,4,4,3,2,22,10.0773218,2020
1,0,1,0,1,2,5,4,5,2,22,9.407864841,2020
2, , , ,2,3,4,3,3,2,22,9.698236153,2020
2, , , ,2,2,4,3,3,2,22,10.0773218,2020
2, , , ,2,2,4,3,3,2,22,9.698236153,2020
1,0,0,1,2,2,4,4,3,2,22,10.0773218,2020
2, , , ,1,2,4,4,3,2,22,9.698236153,2020
2, , , ,2,2,4,3,3,2,22,9.407864841,2020
2, , , ,1,2,4,4,4,2,22,9.407864841,2020
1,0,0,1,2,2,4,4,4,2,22,10.0773218,2020
1,0,0,1,1,2,4,4,4,2,22,9.407864841,2020
2, , , ,2,2,4,4,3,2,22,9.407864841,2020
1,0,0,1,2,2,4,4,3,2,22,10.0773218,2020
1,0,1,0,1,2,4,4,3,2,22,9.698236153,2020
2, , , ,2,2,4,3,3,2,22,9.698236153,2020
2, , , ,1,2,4,4,3,2,22,10.0773218,2020
2, , , ,1,2,4,3,3,2,22,9.698236153,2020
1,0,0,1,2,2,4,3,3,2,22,9.407864841,2020
1,0,0,1,2,2,4,3,2,2,22,9.407864841,2020
2, , , ,1,2,4,3,3,2,22,9.407864841,2020
1,0,0,1,2,2,4,3,3,2,22,9.698236153,2020
2, , , ,1,2,4,4,3,2,22,10.0773218,2020
2, , , ,1,2,5,3,4,2,22,10.0773218,2020
2, , , ,1,2,4,3,4,2,22,10.0773218,2020
1,0,0,1,2,2,4,3,3,2,22,9.698236153,2020
1,0,0,1,2,2,4,4,4,2,22,10.0773218,2020
1,0,0,1,1,1,3,4,4,2,22,9.698236153,2020
2, , , ,1,2,4,4,3,2,22,9.698236153,2020
2, , , ,1,2,5,4,4,2,22,9.407864841,2020
2, , , ,1,2,4,3,3,2,22,10.0773218,2020
2, , , ,1,2,4,4,3,2,22,9.698236153,2020
2, , , ,1,2,5,4,3,2,22,9.698236153,2020
2, , , ,1,2,3,3,3,2,22,9.407864841,2020
1,0,0,1,1,2,4,4,3,2,22,9.698236153,2020
2, , , ,1,2,4,4,2,2,22,9.407864841,2020
1,0,0,1,2,2,4,4,3,2,22,10.0773218,2020
1,0,1,1,1,1,5,4,4,2,22,9.407864841,2020
2, , , ,1,2,4,3,3,2,22,10.0773218,2020
1,0,1,1,1,2,5,5,5,2,22,9.407864841,2020
2, , , ,1,2,4,4,3,2,22,9.698236153,2020
2, , , ,1,2,5,4,3,2,22,9.698236153,2020
1,0,0,1,2,2,4,4,3,2,22,9.407864841,2020
2, , , ,1,2,4,3,3,2,22,9.698236153,2020
2, , , ,2,2,3,3,3,2,23,2.115015303,2020
2, , , ,1,2,4,4,3,2,23,2.05169041,2020
2, , , ,2,3,4,4,3,2,23,2.115015303,2020
1,0,0,1,2,2,4,3,3,2,23,2.197687239,2020
2, , , ,1,2,4,4,3,2,23,2.197687239,2020
2, , , ,1,3,4,4,4,2,23,2.115015303,2020
1,0,0,1,2,2,4,4,3,2,23,2.05169041,2020
2, , , ,1,2,4,4,4,2,23,2.05169041,2020
2, , , ,2,3,4,3,3,2,23,2.197687239,2020
2, , , ,1,3,3,3,3,2,23,2.197687239,2020
1,0,0,1,1,2,5,4,3,2,23,2.05169041,2020
1,0,0,1,2,2,4,4,4,2,23,2.05169041,2020
1,0,0,1,2,2,4,4,3,2,23,2.115015303,2020
2, , , ,2,2,4,3,3,2,23,2.197687239,2020
1,0,0,1,2,2,5,4,4,2,23,2.197687239,2020
2, , , ,2,3,4,4,3,2,23,2.115015303,2020
1,0,0,1,2,2,4,4,4,2,23,2.05169041,2020
1,0,0,1,2,2,4,4,3,2,23,2.115015303,2020
2, , , ,1,3,4,3,3,2,23,2.197687239,2020
1,0,0,1,2,2,4,4,3,2,23,2.05169041,2020
2, , , ,2,3,4,4,3,2,23,2.197687239,2020
1,0,0,1,2,2,4,4,3,2,23,2.197687239,2020
1,0,0,1,2,2,5,5,4,2,23,2.05169041,2020
2, , , ,2,3,4,4,4,2,23,2.115015303,2020
2, , , ,1,2,4,4,4,2,23,2.05169041,2020
2, , , ,2,2,4,4,4,2,23,2.115015303,2020
1,0,1,1,1,1,5,4,5,99,23,1.666522403,2020
1,0,1,1,2,1,5,4,5,2,23,1.555811934,2020
2, , , ,2,2,4,4,4,2,23,1.555811934,2020
1,0,1,1,2,2,5,5,5,2,23,1.555811934,2020
2, , , ,2,1,4,4,4,99,23,1.666522403,2020
1,1,0,0,1,1,4,3,5,99,23,1.603831666,2020
1,1,0,0,1,1,5,4,5,99,23,1.603831666,2020
2, , , ,1,2,3,2,3,99,31,21.54290139,2020
2, , , ,1,2,4,3,3,3,31,20.11176268,2020
2, , , ,1,2,5,4,3,3,31,20.11176268,2020
2, , , ,1,2,5,3,3,3,31,20.11176268,2020
2, , , ,1,2,4,3,4,99,31,21.54290139,2020
1,0,0,1,1,2,3,4,4,99,31,20.73250702,2020
2, , , ,1,2,4,3,3,99,32,3.951219315,2020
1,0,0,1,2,2,4,4,3,3,32,4.105664982,2020
2, , , ,1,3,4,4,3,3,32,4.105664982,2020
2, , , ,2,2,4,4,3,3,32,4.105664982,2020
2, , , ,2,3,4,3,3,99,32,3.832917315,2020
2, , , ,1,2,4,3,3,3,32,4.105664982,2020
2, , , ,2,3,4,3,3,99,33,1.124533694,2020
1,0,0,1,1,2,4,3,2,4,41,39.75640192,2020
2, , , ,1,2,5,4,4,4,41,38.56607016,2020
2, , , ,1,2,4,3,3,4,41,38.56607016,2020
2, , , ,1,2,4,3,3,4,41,38.56607016,2020
2, , , ,1,2,4,4,4,4,41,41.31040425,2020
2, , , ,1,2,3,2,3,4,41,41.31040425,2020
2, , , ,1,2,4,3,4,4,41,41.31040425,2020
2, , , ,1,2,3,3,3,4,41,41.31040425,2020
2, , , ,1,2,4,3,3,4,41,41.31040425,2020
2, , , ,2,2,4,3,3,4,41,41.31040425,2020
1,0,0,1,1,2,4,5,4,4,41,39.75640192,2020
2, , , ,1,2,4,3,3,4,41,38.56607016,2020
2, , , ,1,2,5,4,4,4,41,38.56607016,2020
2, , , ,2,2,4,4,3,4,41,41.31040425,2020
2, , , ,1,2,3,3,3,4,41,41.31040425,2020
2, , , ,2,2,4,3,3,4,41,41.31040425,2020
1,0,0,1,1,2,4,5,4,4,41,39.75640192,2020
2, , , ,2,2,4,3,3,4,41,41.31040425,2020
1,0,0,1,1,2,4,5,4,4,41,41.31040425,2020
2, , , ,1,2,4,4,3,4,41,41.31040425,2020
1,0,0,1,1,2,4,3,2,4,41,39.75640192,2020
2, , , ,1,2,4,4,3,4,41,38.56607016,2020
2, , , ,1,2,4,4,5,4,41,38.56607016,2020
2, , , ,1,2,3,2,3,4,41,38.56607016,2020
1,0,0,1,2,2,4,4,3,4,41,41.31040425,2020
1,0,0,1,2,2,3,4,4,4,41,41.31040425,2020
1,0,0,1,2,2,4,3,3,4,41,41.31040425,2020
2, , , ,1,2,3,3,4,4,41,39.75640192,2020
2, , , ,1,2,4,3,3,4,41,38.56607016,2020
2, , , ,1,2,4,3,4,4,41,38.56607016,2020
2, , , ,2,2,4,3,3,4,41,41.31040425,2020
1,0,0,1,1,2,3,4,3,4,41,39.75640192,2020
2, , , ,1,2,3,3,3,4,41,38.56607016,2020
2, , , ,1,2,4,3,3,4,41,41.31040425,2020
2, , , ,1,2,3,4,2,4,41,39.75640192,2020
2, , , ,1,2,3,2,3,4,41,38.56607016,2020
1,0,1,1,1,2,4,3,3,4,41,38.56607016,2020
2, , , ,1,2,3,2,3,4,41,38.56607016,2020
2, , , ,1,2,4,3,3,4,41,41.31040425,2020
1,0,1,1,1,2,4,3,4,4,41,38.56607016,2020
2, , , ,1,2,3,3,3,4,41,41.31040425,2020
2, , , ,1,2,4,4,3,4,41,41.31040425,2020
2, , , ,1,2,4,3,4,4,41,38.56607016,2020
2, , , ,1,2,4,4,3,4,41,39.75640192,2020
1,0,1,1,1,2,4,3,4,4,41,38.56607016,2020
2, , , ,1,2,4,3,4,4,41,41.31040425,2020
2, , , ,1,2,4,3,3,4,41,41.31040425,2020
1,0,1,1,1,2,4,3,4,4,41,38.56607016,2020
2, , , ,2,2,4,3,3,4,41,41.31040425,2020
1,0,0,1,1,2,4,3,4,4,41,39.75640192,2020
1,0,1,1,1,2,4,3,4,4,41,38.56607016,2020
2, , , ,1,2,4,4,3,4,41,41.31040425,2020
1,0,0,1,1,2,4,3,2,4,41,38.56607016,2020
2, , , ,2,2,4,4,3,4,41,41.31040425,2020
2, , , ,1,2,4,4,3,4,41,41.31040425,2020
