Q34,Q34_1_1,Q34_1_2,Q34_1_3,Q32,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q32_7,Q32_8,Q33,Q28,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q28_10,Q28_10_ETC,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,Q29_10,Q29_10_ETC,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_6_ETC,Q35_1,Q35_3,Q35_5,Q35_2,Q35_4,Q35_6,D_SIZE,D_IND,D_INDSIZE,RIM_WT,year
2, , , ,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0, ,1,0,0,0,1,0,0,0,0,0, ,0,0,0,1,0,0, ,3,3,3,3,3,3,1,1,11,3.22579872702962,2024
2, , , ,1,0,0,0,1,0,0,0,0,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,3,4,3,1,1,11,3.22579872702962,2024
1,0,1,0,1,0,1,0,0,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,3,4,4,3,1,1,11,3.22579872702962,2024
1,0,1,0,1,1,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,5,4,4,1,1,11,3.22579872702962,2024
2, , , ,1,0,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,3,5,4,3,1,1,11,3.22579872702962,2024
1,0,1,0,1,0,0,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,3,5,5,4,1,1,11,3.22579872702962,2024
2, , , ,1,0,0,1,0,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,3,3,3,1,1,11,3.22579872702962,2024
1,0,1,0,1,1,1,0,1,0,0,0,0,65,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,3,3,3,1,1,11,3.22579872702962,2024
2, , , ,1,0,0,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,3,4,4,4,1,1,11,3.22579872702962,2024
1,0,1,0,1,1,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,4,4,3,1,1,11,3.21898045667289,2024
2, , , ,1,0,0,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2,2,2,3,4,1,1,11,3.25149081792035,2024
1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0, ,0,1,0,0,0,0,0,1,0,0, ,0,0,0,1,0,0, ,4,4,4,4,4,4,1,1,11,3.25149081792035,2024
2, , , ,1,0,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2,2,3,3,4,1,1,11,3.25149081792035,2024
2, , , ,1,0,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,3,2,3,4,5,1,1,11,3.12634105099783,2024
2, , , ,1,1,1,0,1,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,4,4,3,3,1,1,11,3.27980640699844,2024
2, , , ,1,0,1,1,1,1,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,3,4,3,1,1,11,3.27980640699844,2024
2, , , ,1,0,1,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,3,4,3,3,1,1,11,3.27980640699844,2024
1,1,0,0,1,0,0,0,1,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,4,4,3,1,1,11,3.27980640699844,2024
2, , , ,1,0,1,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,4,3,4,4,1,1,11,3.28353875094511,2024
2, , , ,1,0,0,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,2,2,1,1,11,3.28353875094511,2024
2, , , ,1,0,1,1,1,0,0,0,0,70,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,3,3,3,4,1,1,11,3.28353875094511,2024
2, , , ,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0, ,0,1,1,0,1,1,0,0,0,0, ,0,0,1,0,0,0, ,4,2,3,3,3,4,1,1,11,3.28353875094511,2024
2, , , ,1,1,1,1,1,0,0,0,0,35,1,0,0,1,0,0,0,0,0,0,0, ,0,0,0,1,1,0,0,1,0,0, ,1,0,0,0,0,0, ,4,3,3,3,4,4,1,1,11,3.28353875094511,2024
2, , , ,1,0,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,2,3,2,2,1,1,11,3.28353875094511,2024
2, , , ,1,0,1,1,1,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,3,4,3,1,1,11,3.28353875094511,2024
2, , , ,1,0,0,1,0,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,2,4,3,2,1,1,11,3.20548444231408,2024
2, , , ,1,0,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,3,3,2,3,1,1,11,3.20548444231408,2024
2, , , ,1,0,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,4,4,3,3,1,1,11,3.20548444231408,2024
2, , , ,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0, ,0,0,1,0,0,0,0,0,0,0, ,0,0,0,1,0,0, ,2,2,3,2,2,2,1,1,11,3.20548444231408,2024
2, , , ,1,0,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,1,1,11,3.18053109676682,2024
2, , , ,1,0,0,1,0,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,3,3,4,3,1,1,11,3.18053109676682,2024
2, , , ,1,0,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,3,3,3,1,1,11,3.18053109676682,2024
2, , , ,1,0,1,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,3,3,4,1,1,11,3.18053109676682,2024
2, , , ,1,0,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,3,3,3,3,1,1,11,3.18053109676682,2024
2, , , ,1,0,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,2,2,3,1,1,11,3.18053109676682,2024
2, , , ,1,0,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,3,3,3,4,1,1,11,3.18053109676682,2024
2, , , ,1,0,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,2,3,3,3,1,1,11,3.18053109676682,2024
2, , , ,1,0,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,3,3,3,1,1,11,3.18053109676682,2024
1,0,1,0,1,0,1,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,3,3,3,1,1,11,3.18053109676682,2024
1,0,1,1,1,0,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,3,3,2,1,1,11,3.18053109676682,2024
2, , , ,1,0,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,3,3,3,3,3,1,1,11,3.18053109676682,2024
1,0,1,0,1,0,1,1,1,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,3,3,3,1,1,11,3.18053109676682,2024
2, , , ,1,0,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,3,3,3,1,1,11,3.18053109676682,2024
2, , , ,1,0,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,2,3,3,3,1,1,11,3.18053109676682,2024
2, , , ,1,0,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,2,3,3,2,1,1,11,3.25267159895663,2024
2, , , ,1,0,0,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,3,3,3,3,1,1,11,3.25267159895663,2024
2, , , ,1,0,0,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,4,5,5,3,1,1,11,3.25267159895663,2024
1,0,1,0,1,0,1,0,0,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,2,4,3,2,1,1,11,3.25267159895663,2024
2, , , ,1,0,0,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,1,3,2,2,1,1,11,3.25267159895663,2024
1,0,1,0,1,1,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,4,4,3,1,1,11,3.25267159895663,2024
1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0, ,0,0,0,0,1,0,0,0,0,0, ,0,0,0,1,0,0, ,4,4,4,3,4,3,1,1,11,3.25267159895663,2024
1,0,1,0,1,1,1,0,1,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,2,4,3,3,1,1,11,3.25490043200427,2024
1,0,1,0,1,0,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,3,4,3,1,1,11,3.25490043200427,2024
2, , , ,1,0,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,4,3,3,1,1,11,3.25490043200427,2024
1,0,1,0,1,0,1,0,1,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,4,3,3,1,1,11,3.25490043200427,2024
1,0,1,0,1,0,1,0,0,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,5,4,3,4,1,1,11,3.25490043200427,2024
1,0,1,0,1,1,1,0,1,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,3,3,3,3,3,1,1,11,3.25490043200427,2024
1,0,1,0,1,0,1,0,1,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,3,5,4,3,1,1,11,3.25490043200427,2024
1,0,1,0,1,1,1,0,0,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,4,3,3,3,1,1,11,3.25490043200427,2024
1,0,1,0,1,0,1,0,1,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,3,3,4,4,3,1,1,11,3.25490043200427,2024
1,0,1,0,1,1,1,0,0,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,3,3,4,3,1,1,11,3.25490043200427,2024
1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0, ,1,0,0,0,1,0,0,1,0,0, ,0,0,1,1,0,0, ,4,3,3,4,3,3,1,1,11,3.25490043200427,2024
1,0,1,0,1,0,1,0,1,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,4,4,1,1,11,3.25490043200427,2024
1,0,1,0,1,1,1,0,1,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,4,4,3,4,1,1,11,3.25490043200427,2024
1,0,1,0,1,1,1,0,1,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5,4,4,4,3,1,1,11,3.25490043200427,2024
1,0,1,0,1,1,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,3,4,4,4,1,1,11,3.25490043200427,2024
1,0,1,0,1,1,1,0,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,3,4,4,4,1,1,11,3.25490043200427,2024
1,0,1,0,1,1,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,3,4,3,1,1,11,3.25490043200427,2024
2, , , ,1,0,0,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,3,3,4,3,1,1,11,3.25490043200427,2024
1,0,1,0,1,1,1,0,1,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,3,3,3,1,1,11,3.25490043200427,2024
1,0,1,0,1,0,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,3,3,4,3,4,1,1,11,3.25490043200427,2024
2, , , ,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0, ,0,0,0,0,1,0,0,0,0,0, ,0,0,0,0,1,0, ,3,2,2,2,3,2,1,1,11,3.23142958265306,2024
1,1,1,0,1,0,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,3,2,1,1,11,3.23142958265306,2024
2, , , ,1,0,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,3,4,4,4,1,1,11,3.24359846384566,2024
2, , , ,1,0,0,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,4,3,3,1,1,11,3.24359846384566,2024
1,0,1,0,1,1,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,4,4,4,4,1,1,11,3.23713216605554,2024
1,0,1,0,1,1,1,0,0,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,3,4,4,5,1,1,11,3.23713216605554,2024
2, , , ,1,0,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,4,3,3,1,1,11,3.23713216605554,2024
1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0, ,0,0,0,0,1,0,0,0,0,0, ,0,0,0,0,1,0, ,4,4,2,4,4,4,1,1,11,3.23713216605554,2024
1,0,1,0,1,0,1,0,1,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,5,4,3,1,1,11,3.23713216605554,2024
2, , , ,1,0,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,3,3,4,4,3,1,1,11,3.26122603798862,2024
1,0,1,0,1,1,1,0,0,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,3,4,3,3,1,1,11,3.23028994056153,2024
1,0,1,0,1,1,1,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,3,4,3,3,1,1,11,3.23028994056153,2024
2, , , ,1,0,0,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,3,4,3,4,1,1,11,3.82227418826877,2024
1,0,1,1,1,0,0,0,1,1,0,0,0,8,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,4,4,5,5,1,1,11,3.26291452288354,2024
1,1,0,0,1,1,1,0,1,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,3,4,4,3,1,1,11,3.26291452288354,2024
1,1,1,1,1,0,0,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2,2,2,4,2,1,1,11,3.26291452288354,2024
2, , , ,1,1,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,4,4,4,1,1,11,3.26291452288354,2024
1,0,1,0,1,1,1,1,1,1,0,0,0,50,1,0,1,0,0,0,0,0,0,0,0, ,0,1,0,0,0,0,0,1,0,0, ,0,0,0,0,1,0, ,4,5,5,4,5,4,1,1,11,3.26291452288354,2024
1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0, ,0,1,0,0,0,0,0,1,0,0, ,0,0,0,1,0,0, ,5,4,3,3,4,4,1,1,11,3.26291452288354,2024
2, , , ,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0, ,0,1,0,0,0,0,0,0,0,0, ,0,0,0,1,0,0, ,4,4,4,4,4,5,1,1,11,3.26291452288354,2024
2, , , ,1,0,1,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,4,4,4,4,1,1,11,3.26291452288354,2024
2, , , ,1,0,0,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,3,3,4,4,1,1,11,3.26291452288354,2024
1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0, ,0,1,0,0,0,0,0,1,0,0, ,0,0,0,1,0,0, ,5,3,4,3,3,4,1,1,11,3.26291452288354,2024
2, , , ,1,0,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,5,4,4,1,1,11,3.26291452288354,2024
1,0,1,0,1,0,1,1,1,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,3,5,4,3,1,1,11,3.26291452288354,2024
1,1,0,0,1,0,0,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,2,3,3,3,1,1,11,3.26291452288354,2024
2, , , ,1,1,1,1,0,0,0,0,0,5,1,1,0,1,0,0,1,0,0,0,0, ,1,0,0,0,1,0,0,0,1,0, ,0,0,0,1,0,0, ,3,3,2,3,3,2,1,1,11,3.26291452288354,2024
2, , , ,1,0,0,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,3,3,3,1,1,11,3.26291452288354,2024
1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,1,0,0, ,0,0,0,0,1,0, ,5,4,3,4,4,3,1,1,11,3.13732505795983,2024
2, , , ,1,0,0,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,3,2,2,1,1,11,3.13732505795983,2024
2, , , ,1,0,0,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,2,3,3,3,1,1,11,3.13732505795983,2024
1,0,1,0,1,0,1,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5,1,3,4,4,1,1,11,3.13732505795983,2024
1,0,1,1,1,0,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,1,1,11,3.13732505795983,2024
2, , , ,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0, ,1,0,1,0,1,0,0,0,0,0, ,0,0,0,1,0,0, ,5,3,3,4,3,4,1,1,11,3.13732505795983,2024
2, , , ,1,0,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,3,5,5,5,1,1,11,3.13732505795983,2024
2, , , ,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0, ,1,1,0,0,1,1,0,0,0,0, ,0,0,0,0,1,0, ,4,4,4,4,4,4,1,1,11,3.13732505795983,2024
2, , , ,1,0,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,1,1,11,3.13732505795983,2024
2, , , ,1,0,1,1,1,0,0,0,0,7,1,0,1,1,0,0,1,0,0,0,0, ,0,0,0,1,1,0,0,0,0,0, ,0,0,0,1,0,0, ,4,3,3,4,3,4,1,1,11,3.13732505795983,2024
1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0, ,0,0,0,0,1,0,0,0,0,0, ,0,0,0,0,1,0, ,4,3,3,3,3,3,1,1,11,3.13732505795983,2024
2, , , ,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0, ,0,0,0,0,1,0,0,0,0,0, ,0,0,0,0,1,0, ,3,3,2,2,3,3,1,1,11,3.13732505795983,2024
2, , , ,1,1,1,0,1,1,0,0,0,7,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,3,4,3,1,1,11,3.29132959523057,2024
1,0,1,1,1,1,1,1,1,1,0,0,0,7,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,4,5,3,3,1,1,11,3.29132959523057,2024
2, , , ,1,1,1,1,1,1,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,3,4,3,1,1,11,3.29132959523057,2024
2, , , ,1,1,1,0,1,1,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,3,4,4,1,1,11,3.29132959523057,2024
2, , , ,1,1,1,0,1,1,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,3,4,3,1,1,11,3.29132959523057,2024
2, , , ,1,0,1,1,1,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,4,4,4,4,1,1,11,3.29132959523057,2024
2, , , ,1,0,1,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,4,3,3,1,1,11,3.29132959523057,2024
2, , , ,1,0,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,3,4,3,4,1,1,11,3.29132959523057,2024
2, , , ,1,0,0,1,1,0,0,0,0,6,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,4,4,3,4,1,1,11,3.29132959523057,2024
2, , , ,1,0,1,1,0,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,4,4,3,3,1,1,11,3.29132959523057,2024
2, , , ,1,0,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,4,4,4,1,1,11,3.29132959523057,2024
2, , , ,1,0,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,5,4,4,4,4,1,1,11,3.29132959523057,2024
2, , , ,1,0,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,4,3,4,3,1,1,11,3.29132959523057,2024
2, , , ,1,0,1,1,0,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,4,4,3,1,1,11,3.29132959523057,2024
2, , , ,1,0,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,3,5,3,1,1,11,3.29132959523057,2024
2, , , ,1,1,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,3,4,3,1,1,11,3.29132959523057,2024
1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0, ,1,0,0,1,1,0,1,0,1,0, ,0,0,0,0,1,0, ,4,4,4,3,5,4,1,1,11,3.29132959523057,2024
1,0,1,0,1,0,0,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,3,3,4,4,1,1,11,3.29132959523057,2024
2, , , ,1,1,0,1,1,0,0,0,0,9,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,3,3,4,4,1,1,11,3.29132959523057,2024
2, , , ,1,0,1,1,1,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,4,4,4,4,1,1,11,3.29507505229933,2024
2, , , ,1,0,1,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,3,4,4,1,1,11,3.29507505229933,2024
1,1,1,0,1,1,1,0,1,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,2,2,2,1,1,11,3.29507505229933,2024
2, , , ,1,0,1,1,1,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5,4,3,4,3,1,1,11,3.29507505229933,2024
2, , , ,1,0,1,1,0,1,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,3,3,4,1,1,11,3.29507505229933,2024
1,0,1,1,1,0,1,1,0,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,3,3,3,4,1,1,11,3.29507505229933,2024
1,0,1,0,1,1,1,1,1,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,3,3,3,4,3,1,1,11,3.29507505229933,2024
2, , , ,1,0,1,0,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,2,2,3,1,1,11,3.29507505229933,2024
2, , , ,1,0,1,1,1,0,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,3,4,4,1,1,11,3.29507505229933,2024
2, , , ,1,0,1,1,1,1,0,0,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,3,4,2,1,1,11,3.29507505229933,2024
