year,weight,industry,industry_size,firm_size,it_org_any,it_org_internal,it_org_mixed,it_org_outsource,it_org_type,it_invest_share_std4,it_invest_share_pct,ai_use,proc_improve,innov_outcome,decision_improve,weight_raw,industry_raw,industry_size_raw,firm_size_raw,it_org_any_raw,it_org_internal_raw,it_org_mixed_raw,it_org_outsource_raw,it_invest_share_raw,ai_use_raw,proc_improve_raw,decision_improve_raw,innov_outcome_raw
2024,3.22579872702962,1,11,1,0,0,0,0,0,1,1.0,1,3,3,3,3.22579872702962,1,11,1,2,,,,1,1,3,3,3
2024,3.22579872702962,1,11,1,0,0,0,0,0,2,4.0,0,3,3,3,3.22579872702962,1,11,1,2,,,,4,2,3,3,3
2024,3.22579872702962,1,11,1,1,0,1,0,2,1,1.0,0,3,3,4,3.22579872702962,1,11,1,1,0,1,0,1,2,3,4,3
2024,3.22579872702962,1,11,1,1,0,1,0,2,1,1.0,0,4,4,4,3.22579872702962,1,11,1,1,0,1,0,1,2,4,4,4
2024,3.22579872702962,1,11,1,0,0,0,0,0,1,1.0,0,5,3,4,3.22579872702962,1,11,1,2,,,,1,2,5,4,3
2024,3.22579872702962,1,11,1,1,0,1,0,2,1,1.0,0,5,3,5,3.22579872702962,1,11,1,1,0,1,0,1,2,5,5,3
2024,3.22579872702962,1,11,1,0,0,0,0,0,1,1.0,0,3,3,3,3.22579872702962,1,11,1,2,,,,1,2,3,3,3
2024,3.22579872702962,1,11,1,1,0,1,0,2,4,65.0,0,3,3,3,3.22579872702962,1,11,1,1,0,1,0,65,2,3,3,3
2024,3.22579872702962,1,11,1,0,0,0,0,0,1,1.0,0,4,3,4,3.22579872702962,1,11,1,2,,,,1,2,4,4,3
2024,3.21898045667289,1,11,1,1,0,1,0,2,1,1.0,0,4,3,3,3.21898045667289,1,11,1,1,0,1,0,1,2,4,3,3
2024,3.25149081792035,1,11,1,0,0,0,0,0,1,1.0,0,4,2,2,3.25149081792035,1,11,1,2,,,,1,2,4,2,2
2024,3.25149081792035,1,11,1,1,0,1,0,2,1,1.0,1,4,4,4,3.25149081792035,1,11,1,1,0,1,0,1,1,4,4,4
2024,3.25149081792035,1,11,1,0,0,0,0,0,1,1.0,0,4,2,2,3.25149081792035,1,11,1,2,,,,1,2,4,2,2
2024,3.12634105099783,1,11,1,0,0,0,0,0,1,1.0,0,5,2,3,3.12634105099783,1,11,1,2,,,,1,2,5,3,2
2024,3.27980640699844,1,11,1,0,0,0,0,0,1,1.0,0,3,4,4,3.27980640699844,1,11,1,2,,,,1,2,3,4,4
2024,3.27980640699844,1,11,1,0,0,0,0,0,2,2.0,0,4,3,3,3.27980640699844,1,11,1,2,,,,2,2,4,3,3
2024,3.27980640699844,1,11,1,0,0,0,0,0,1,1.0,0,5,3,4,3.27980640699844,1,11,1,2,,,,1,2,5,4,3
2024,3.27980640699844,1,11,1,1,1,0,0,1,1,1.0,0,3,3,3,3.27980640699844,1,11,1,1,1,0,0,1,2,3,3,3
2024,3.28353875094511,1,11,1,0,0,0,0,0,1,1.0,0,4,4,3,3.28353875094511,1,11,1,2,,,,1,2,4,3,4
2024,3.28353875094511,1,11,1,0,0,0,0,0,1,1.0,0,2,1,1,3.28353875094511,1,11,1,2,,,,1,2,2,1,1
2024,3.28353875094511,1,11,1,0,0,0,0,0,4,70.0,0,4,3,4,3.28353875094511,1,11,1,2,,,,70,2,4,4,3
2024,3.28353875094511,1,11,1,0,0,0,0,0,1,1.0,1,4,3,2,3.28353875094511,1,11,1,2,,,,1,1,4,2,3
2024,3.28353875094511,1,11,1,0,0,0,0,0,4,35.0,1,4,3,3,3.28353875094511,1,11,1,2,,,,35,1,4,3,3
