it_org_any_raw,it_org_internal_raw,it_org_mixed_raw,it_org_outsource_raw,it_invest_share_raw,it_invest_share_cat_raw,ai_use_raw,proc_improve_raw,decision_improve_raw,innov_outcome_raw,firm_size_raw,industry_raw,industry_size_raw,weight_raw,year
2, , , ,1,1,3,3,2,2,1,1,11,4.859751835,2022
2, , , ,1,1,3,4,2,2,1,1,11,4.859751835,2022
2, , , ,1,1,3,3,3,2,1,1,11,4.859751835,2022
2, , , ,1,1,3,3,2,2,1,1,11,4.859751835,2022
1,0,1,0,1,1,3,4,3,2,1,1,11,4.812244744,2022
2, , , ,1,1,3,4,5,3,1,1,11,6.318961177,2022
1,0,1,0,1,1,3,3,4,3,1,1,11,6.318961177,2022
2, , , ,1,1,3,3,3,3,1,1,11,4.812244744,2022
1,0,1,0,1,1,3,4,4,4,1,1,11,4.812244744,2022
1,0,1,0,1,1,3,4,4,3,1,1,11,6.318961177,2022
1,0,1,0,1,1,3,4,3,3,1,1,11,6.318961177,2022
2, , , ,1,1,2,4,5,4,1,1,11,6.318961177,2022
1,0,1,0,1,1,2,4,3,4,1,1,11,6.318961177,2022
1,0,1,0,1,1,3,3,3,3,1,1,11,6.318961177,2022
1,0,1,0,1,1,2,4,3,4,1,1,11,4.812244744,2022
1,0,1,0,1,1,3,4,3,3,1,1,11,6.318961177,2022
1,0,1,0,1,1,3,3,3,3,1,1,11,6.318961177,2022
1,0,1,0,1,1,2,4,3,4,1,1,11,4.812244744,2022
1,0,1,0,1,1,2,3,4,3,1,1,11,4.812244744,2022
1,0,1,0,1,1,2,4,3,2,1,1,11,4.687283351,2022
2, , , ,1,1,2,3,3,3,1,1,11,4.687283351,2022
1,0,1,0,1,1,2,2,3,3,1,1,11,4.687283351,2022
1,0,1,0,1,1,2,3,3,4,1,1,11,4.687283351,2022
2, , , ,1,1,2,5,4,4,1,1,11,6.274176123,2022
1,0,1,0,1,1,2,4,4,3,1,1,11,4.778138404,2022
1,0,1,0,1,1,2,5,4,3,1,1,11,4.778138404,2022
2, , , ,1,1,2,4,5,3,1,1,11,5.396714735,2022
1,0,1,0,1,1,2,3,4,4,1,1,11,4.94316756,2022
1,0,1,0,1,1,3,3,3,3,1,1,11,4.94316756,2022
2, , , ,1,1,2,3,3,2,1,1,11,4.94316756,2022
2, , , ,1,1,2,3,3,3,1,1,11,4.94316756,2022
2, , , ,1,1,2,1,1,1,1,1,11,4.94316756,2022
1,0,0,1,1,1,2,3,3,3,1,1,11,4.94316756,2022
1,1,0,1,1,1,1,2,3,3,1,1,11,6.490875997,2022
1,0,1,0,1,1,2,2,3,3,1,1,11,4.94316756,2022
1,0,1,0,1,1,2,2,3,3,1,1,11,4.94316756,2022
1,0,0,1,1,1,2,2,2,2,1,1,11,4.94316756,2022
1,0,1,0,2,2,2,2,2,2,1,1,11,4.94316756,2022
1,0,1,0,1,1,2,3,2,3,1,1,11,4.94316756,2022
1,0,0,1,1,1,2,3,3,3,1,1,11,4.94316756,2022
1,0,1,0,1,1,2,3,3,3,1,1,11,6.490875997,2022
1,0,1,0,1,1,2,2,3,3,1,1,11,4.94316756,2022
1,0,0,1,1,1,2,3,3,3,1,1,11,4.94316756,2022
1,0,1,0,1,1,3,3,3,3,1,1,11,4.94316756,2022
1,0,1,0,1,1,3,2,3,3,1,1,11,4.94316756,2022
1,0,1,0,1,1,3,4,3,3,1,1,11,4.94316756,2022
1,0,1,0,1,1,2,4,4,3,1,1,11,4.94316756,2022
1,0,1,0,1,1,2,4,4,3,1,1,11,4.94316756,2022
1,0,0,1,1,1,2,5,4,3,1,1,11,4.94316756,2022
1,0,1,0,1,1,2,4,4,4,1,1,11,4.94316756,2022
1,0,1,0,1,1,3,3,3,3,1,1,11,4.94316756,2022
1,0,1,0,1,1,2,2,3,3,1,1,11,4.94316756,2022
1,0,1,0,1,1,2,3,3,3,1,1,11,4.94316756,2022
1,0,1,0,1,1,2,2,3,2,1,1,11,4.94316756,2022
1,0,0,1,1,1,2,5,5,5,1,1,11,4.767987227,2022
2, , , ,1,1,2,2,2,2,1,1,11,4.767987227,2022
1,0,0,1,1,1,2,2,2,2,1,1,11,4.767987227,2022
2, , , ,1,1,2,4,4,2,1,1,11,4.767987227,2022
2, , , ,1,1,3,2,2,2,1,1,11,4.767987227,2022
2, , , ,1,1,3,5,5,2,1,1,11,4.767987227,2022
2, , , ,1,1,2,5,5,3,1,1,11,4.767987227,2022
2, , , ,1,1,3,4,3,3,1,1,11,4.767987227,2022
2, , , ,1,1,2,3,3,1,1,1,11,6.260846607,2022
1,0,0,1,1,1,2,1,1,1,1,1,11,4.767987227,2022
2, , , ,1,1,2,4,4,3,1,1,11,4.767987227,2022
1,0,0,1,1,1,2,1,1,1,1,1,11,4.767987227,2022
2, , , ,1,1,2,3,3,3,1,1,11,4.767987227,2022
2, , , ,1,1,3,4,4,2,1,1,11,4.767987227,2022
2, , , ,1,1,2,4,4,2,1,1,11,4.767987227,2022
2, , , ,1,1,2,4,3,3,1,1,11,4.767987227,2022
2, , , ,1,1,2,3,3,3,1,1,11,4.767987227,2022
2, , , ,1,1,2,4,3,3,1,1,11,4.930254637,2022
1,0,0,1,3,2,2,5,4,3,1,1,11,4.930254637,2022
