Q33,Q33A1,Q33A2,Q33A3,Q32,Q50,Q58A1,Q58A2,D_SIZE,D_IND,D_INDSIZE,WT,year
1,0,0,1,2,2,3,3,2,8,82,50.957205,2019
1,1,0,0,3,2,4,3,5,1,15,0.813044892,2019
1,0,1,0,2,2,5,4,4,13,134,50.53092744,2019
1,0,1,0,2,2,4,4,3,13,133,274.8609412,2019
2, , , ,2,2,4,4,3,13,133,166.0658299,2019
1,0,1,0,2,2,4,4,3,10,103,74.96396732,2019
1,1,0,1,2,2,5,5,4,11,114,13.34723845,2019
1,0,1,0,2,2,5,5,2,11,112,56.33104649,2019
2, , , ,2,2,4,4,2,3,32,173.6098184,2019
2, , , ,2,3,2,2,3,11,113,44.87137166,2019
1,0,1,0,2,2,5,4,4,8,84,12.43908038,2019
1,0,1,0,2,2,3,3,4,2,24,25.80794009,2019
2, , , ,2,3,4,4,2,11,112,56.33104649,2019
2, , , ,2,2,3,2,2,1,12,9.948814145,2019
2, , , ,2,2,3,3,3,12,123,50.28405141,2019
2, , , ,2,2,4,3,2,13,132,375.9186094,2019
2, , , ,2,2,3,2,3,4,43,145.5197041,2019
2, , , ,2,3,5,4,4,11,114,8.395060478,2019
2, , , ,2,2,3,2,2,1,12,9.948814145,2019
2, , , , ,3,5,5,2,7,72,33.77312505,2019
1,0,1,0,2,2,2,2,2,12,122,124.3660728,2019
2, , , ,2,2,4,3,3,13,133,166.0658299,2019
2, , , ,2,2,3,3,2,5,52,58.83799979,2019
2, , , ,2,1,2,3,3,5,53,49.93878493,2019
2, , , ,2,2,4,1,3,10,103,47.22153623,2019
2, , , ,2,1,3,3,4,10,104,9.268231612,2019
2, , , ,2,2,4,3,3,11,113,44.87137166,2019
1,0,1,0,2,2,3,3,4,2,24,25.80794009,2019
2, , , ,2,2,3,3,3,11,113,49.80882053,2019
2, , , ,2,2,5,5,4,1,14,1.394161265,2019
1,0,1,0,2,2,3,3,1,8,81,54.80921488,2019
1,0,1,0,2,1,4,4,3,8,83,78.06173436,2019
1,0,1,0,2,2,3,3,3,3,33,179.9115432,2019
1,0,0,1,2,2,5,5,2,12,122,119.283843,2019
1,0,0,1,4,3,4,3,5,2,25,1.915232382,2019
1,0,1,1,2,2,4,3,5,6,65,1.286838876,2019
1,0,0,1,2,2,5,5,4,2,24,25.80794009,2019
2, , , ,2,2,5,5,1,4,41,3854.803181,2019
2, , , ,2,2,5,5,1,2,21,205.587279,2019
2, , , ,2,3,2,2,2,13,132,400.2307378,2019
2, , , ,2,3,4,3,2,13,132,400.2307378,2019
2, , , ,2,1,3,3,3,2,23,77.84282513,2019
2, , , ,2,2,5,5,2,3,32,173.6098184,2019
1,1,0,0,2,2,3,3,2,10,102,74.98544156,2019
2, , , ,2,2,4,4,2,8,82,50.957205,2019
2, , , ,2,2,5,5,3,4,43,145.5197041,2019
2, , , ,2,3,1,1,1,10,101,383.801503,2019
1,0,0,1,2,3,3,3,3,6,63,50.09977483,2019
1,0,0,1,2,2,3,3,1,13,131,1364.79796,2019
1,0,1,0,2,2,4,3,4,2,24,25.80794009,2019
2, , , , ,3,4,4,1,2,21,205.587279,2019
2, , , , ,3,3,3,1,2,21,205.587279,2019
2, , , ,2,2,3,2,2,2,22,113.1432866,2019
2, , , ,2,2,5,4,3,5,53,31.41017682,2019
1,0,1,0,2,2,5,4,3,6,63,88.41791636,2019
2, , , ,2,2,3,3,4,7,74,14.11981102,2019
