Q44,Q44A1,Q44A2,Q44A3,Q43,REQ43,Q36,Q45A1,Q45A3,Q45A5,D_SIZE,D_IND,D_INDSIZE,RIM_WT,year
2, , , ,1,1,2,4,4,4,1,1,11,10.0713735434683,2021
2, , , ,1,1,2,4,4,3,1,1,11,6.54291979756102,2021
1,0,1,0,1,1,3,3,3,3,1,1,11,7.18559921663349,2021
1,1,1,0,9,3,1,4,4,4,1,1,11,9.96428824835248,2021
1,1,0,0,1,1,2,5,4,3,3,1,13,1.40751614724557,2021
1,1,0,0,6,3,3,4,4,4,3,1,13,1.36951501483951,2021
1,1,0,1,1,1,2,5,4,1,3,1,13,1.22296883815019,2021
1,0,0,1,1,1,2,3,3,3,3,2,23,1.80979125904423,2021
1,0,1,0,6,3,3,4,4,4,3,2,23,2.24244968725818,2021
1,1,0,0,6,3,3,4,4,3,3,2,23,1.6691868590938,2021
1,0,1,1,1,1,2,4,4,3,3,2,23,1.6691868590938,2021
2, , , ,1,1,2,4,3,4,1,2,21,61.5002469481631,2021
2, , , ,5,3,2,4,2,3,1,1,11,7.22885098235119,2021
1,0,1,0,2,2,2,4,4,3,3,6,63,1.67274408488741,2021
1,0,1,0,1,1,2,4,4,4,3,7,73,1.18566863884632,2021
2, , , ,1,1,2,4,3,2,3,10,103,1.48634528115588,2021
1,1,0,0,1,1,2,5,4,5,3,13,133,1.31466935351248,2021
2, , , ,5,3,3,4,3,2,1,1,11,7.22885098235119,2021
1,0,1,0,1,1,2,4,3,3,1,10,101,18.5096017579804,2021
2, , , ,3,2,3,4,3,3,3,2,23,1.49519548683785,2021
1,0,1,0,2,2,3,4,3,3,2,1,12,1.67400611704372,2021
2, , , ,2,2,1,4,4,3,2,6,62,6.06822575589555,2021
1,1,1,1,1,1,2,5,5,5,2,7,72,5.83126494226899,2021
1,0,1,1,1,1,2,5,5,5,1,7,71,25.8475702899996,2021
1,0,0,1,1,1,2,4,4,3,1,4,41,27.3009567240363,2021
2, , , ,1,1,2,3,3,3,1,1,11,6.54291979756102,2021
2, , , ,1,1,2,3,4,2,1,10,101,11.209825701582,2021
1,0,0,1,1,1,2,3,3,3,1,4,41,27.3009567240363,2021
1,0,0,1,1,1,2,2,2,2,1,4,41,27.3009567240363,2021
1,0,0,1,1,1,2,5,3,3,1,4,41,27.3009567240363,2021
1,0,0,1,1,1,2,2,3,2,1,4,41,27.3009567240363,2021
2, , , ,2,2,2,5,5,3,1,11,111,34.1117471825032,2021
1,0,0,1,1,1,2,3,3,2,2,1,12,1.49487759815264,2021
1,0,1,0,1,1,2,3,3,2,1,4,41,27.3009567240363,2021
1,0,1,0,1,1,2,2,2,2,2,1,12,1.49487759815264,2021
1,0,1,0,1,1,2,4,5,5,1,4,41,27.3009567240363,2021
1,0,1,0,1,1,3,3,3,3,2,1,12,1.49487759815264,2021
1,0,1,1,1,1,2,5,5,5,1,4,41,27.3009567240363,2021
2, , , ,1,1,2,3,3,2,2,11,112,4.99995347667801,2021
2, , , ,1,1,3,4,4,2,2,1,12,1.49487759815264,2021
